ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,SPOT_PRC,SETL_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4101KC0007,101KC000,코스피200 F 201512 (야간),248.95,1,0.05,248.70,249.30,248.35,248.53,0.00,"6,708","834,779,300,000","121,486",FU,20151020,KRDRVFUK2I
KR4101KC0007,101KC000,코스피200 F 201512 (주간),248.90,1,0.85,247.70,249.35,247.50,248.53,248.90,"88,641","11,017,119,025,000","121,569",FU,20151020,KRDRVFUK2I
KR4101L30006,101L3000,코스피200 F 201603 (야간),246.70,1,0.30,246.30,247.10,246.30,248.53,0.00,20,"2,466,900,000","2,835",FU,20151020,KRDRVFUK2I
KR4101L30006,101L3000,코스피200 F 201603 (주간),246.40,1,0.45,245.80,247.10,245.40,248.53,246.40,288,"35,502,650,000","2,837",FU,20151020,KRDRVFUK2I
KR4101L60003,101L6000,코스피200 F 201606 (야간),-,0,-,-,-,-,248.53,0.00,0,0,509,FU,20151020,KRDRVFUK2I
KR4101L60003,101L6000,코스피200 F 201606 (주간),-,0,-,-,-,-,248.53,247.75,0,0,509,FU,20151020,KRDRVFUK2I
KR4101L90000,101L9000,코스피200 F 201609 (야간),-,0,-,-,-,-,248.53,0.00,0,0,57,FU,20151020,KRDRVFUK2I
KR4101L90000,101L9000,코스피200 F 201609 (주간),247.80,1,0.45,246.95,247.80,246.95,248.53,247.80,2,"247,375,000",57,FU,20151020,KRDRVFUK2I
KR4101LC0006,101LC000,코스피200 F 201612 (야간),-,0,-,-,-,-,248.53,0.00,0,0,845,FU,20151020,KRDRVFUK2I
KR4101LC0006,101LC000,코스피200 F 201612 (주간),-,0,-,-,-,-,248.53,249.45,0,0,845,FU,20151020,KRDRVFUK2I
KR4101M60001,101M6000,코스피200 F 201706 (야간),-,0,-,-,-,-,248.53,0.00,0,0,220,FU,20151020,KRDRVFUK2I
KR4101M60001,101M6000,코스피200 F 201706 (주간),-,0,-,-,-,-,248.53,248.30,0,0,220,FU,20151020,KRDRVFUK2I
KR4101MC0005,101MC000,코스피200 F 201712 (야간),-,0,-,-,-,-,248.53,0.00,0,0,192,FU,20151020,KRDRVFUK2I
KR4101MC0005,101MC000,코스피200 F 201712 (주간),-,0,-,-,-,-,248.53,250.05,0,0,192,FU,20151020,KRDRVFUK2I
KR4401KCL3S4,401KCL3S,코스피200 SP 1512-1603 (주간),-2.15,2,-2.15,-2.20,-2.15,-2.20,248.53,0.00,128,"31,702,625,000",-,FU,20151020,KRDRVFUK2I
KR4401KCL6S7,401KCL6S,코스피200 SP 1512-1606 (주간),-,0,-,-,-,-,248.53,0.00,0,0,-,FU,20151020,KRDRVFUK2I
KR4401KCL9S1,401KCL9S,코스피200 SP 1512-1609 (주간),-,0,-,-,-,-,248.53,0.00,0,0,-,FU,20151020,KRDRVFUK2I
KR4401KCLCS2,401KCLCS,코스피200 SP 1512-1612 (주간),-,0,-,-,-,-,248.53,0.00,0,0,-,FU,20151020,KRDRVFUK2I
KR4401KCM6S6,401KCM6S,코스피200 SP 1512-1706 (주간),-,0,-,-,-,-,248.53,0.00,0,0,-,FU,20151020,KRDRVFUK2I
KR4401KCMCS0,401KCMCS,코스피200 SP 1512-1712 (주간),0.70,1,0.70,0.70,0.70,0.70,248.53,0.00,5,"1,245,000,000",-,FU,20151020,KRDRVFUK2I
