ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,SPOT_PRC,SETL_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4101DC0006,101DC000,코스피200 F 200912 (주간),205.40,2,-1.55,209.25,209.95,205.40,206.81,205.40,"280,050","29,173,611,125,000","111,115",FU,20091030,KRDRVFUK2I
KR4101E30001,101E3000,코스피200 F 201003 (주간),204.65,2,-1.35,208.10,208.10,204.35,206.81,204.65,197,"20,368,750,000","3,674",FU,20091030,KRDRVFUK2I
KR4101E60008,101E6000,코스피200 F 201006 (주간),-,2,-,-,-,-,206.81,205.85,0,0,178,FU,20091030,KRDRVFUK2I
KR4101E90005,101E9000,코스피200 F 201009 (주간),-,2,-,-,-,-,206.81,206.10,0,0,53,FU,20091030,KRDRVFUK2I
KR4401DCE3S2,401DCE3S,코스피200 SP 0912-1003 (주간),-1.70,2,-1.70,-1.70,-1.70,-1.75,206.81,0.00,169,"35,103,200,000",-,FU,20091030,KRDRVFUK2I
KR4401DCE6S5,401DCE6S,코스피200 SP 0912-1006 (주간),-1.20,2,-1.20,-1.00,-1.00,-1.20,206.81,0.00,2,"414,500,000",-,FU,20091030,KRDRVFUK2I
KR4401DCE9S9,401DCE9S,코스피200 SP 0912-1009 (주간),-0.45,2,-0.45,-0.45,-0.45,-0.45,206.81,0.00,1,"206,325,000",-,FU,20091030,KRDRVFUK2I
