ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,SPOT_PRC,SETL_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4101Q60002,101Q6000,코스피200 F 202006 (야간),-,0,-,-,-,-,250.28,0.00,0,0,"335,318",FU,2020-04-24,KRDRVFUK2I
KR4101Q60002,101Q6000,코스피200 F 202006 (주간),248.95,2,-5.20,251.50,252.05,247.95,250.28,248.95,"319,961","20,020,492,212,500","335,318",FU,2020-04-24,KRDRVFUK2I
KR4101Q90009,101Q9000,코스피200 F 202009 (야간),-,0,-,-,-,-,250.28,0.00,0,0,"7,774",FU,2020-04-24,KRDRVFUK2I
KR4101Q90009,101Q9000,코스피200 F 202009 (주간),248.35,2,-4.45,250.80,251.20,247.35,250.28,248.35,849,"52,866,125,000","7,774",FU,2020-04-24,KRDRVFUK2I
KR4101QC0001,101QC000,코스피200 F 202012 (야간),-,0,-,-,-,-,250.28,0.00,0,0,"39,724",FU,2020-04-24,KRDRVFUK2I
KR4101QC0001,101QC000,코스피200 F 202012 (주간),-,0,-,-,-,-,250.28,248.80,"2,400","150,240,000,000","39,724",FU,2020-04-24,KRDRVFUK2I
KR4101R30003,101R3000,코스피200 F 202103 (야간),-,0,-,-,-,-,250.28,0.00,0,0,63,FU,2020-04-24,KRDRVFUK2I
KR4101R30003,101R3000,코스피200 F 202103 (주간),-,0,-,-,-,-,250.28,245.50,0,0,63,FU,2020-04-24,KRDRVFUK2I
KR4101R60000,101R6000,코스피200 F 202106 (야간),-,0,-,-,-,-,250.28,0.00,0,0,"8,776",FU,2020-04-24,KRDRVFUK2I
KR4101R60000,101R6000,코스피200 F 202106 (주간),-,0,-,-,-,-,250.28,245.50,0,0,"8,776",FU,2020-04-24,KRDRVFUK2I
KR4101RC0000,101RC000,코스피200 F 202112 (야간),-,0,-,-,-,-,250.28,0.00,0,0,"9,013",FU,2020-04-24,KRDRVFUK2I
KR4101RC0000,101RC000,코스피200 F 202112 (주간),-,0,-,-,-,-,250.28,245.35,"2,400","148,800,000,000","9,013",FU,2020-04-24,KRDRVFUK2I
KR4101SC0009,101SC000,코스피200 F 202212 (야간),-,0,-,-,-,-,250.28,0.00,0,0,"2,460",FU,2020-04-24,KRDRVFUK2I
KR4101SC0009,101SC000,코스피200 F 202212 (주간),-,0,-,-,-,-,250.28,241.80,0,0,"2,460",FU,2020-04-24,KRDRVFUK2I
KR4401Q6Q9S8,401Q6Q9S,코스피200 SP 2006-2009 (주간),-0.65,2,-0.65,-0.65,-0.60,-0.65,250.28,0.00,307,"38,165,175,000",-,FU,2020-04-24,KRDRVFUK2I
KR4401Q6QCS0,401Q6QCS,코스피200 SP 2006-2012 (주간),-,0,-,-,-,-,250.28,0.00,0,0,-,FU,2020-04-24,KRDRVFUK2I
KR4401Q6R3S0,401Q6R3S,코스피200 SP 2006-2103 (주간),-,0,-,-,-,-,250.28,0.00,0,0,-,FU,2020-04-24,KRDRVFUK2I
KR4401Q6R6S3,401Q6R6S,코스피200 SP 2006-2106 (주간),-,0,-,-,-,-,250.28,0.00,0,0,-,FU,2020-04-24,KRDRVFUK2I
KR4401Q6RCS8,401Q6RCS,코스피200 SP 2006-2112 (주간),-,0,-,-,-,-,250.28,0.00,0,0,-,FU,2020-04-24,KRDRVFUK2I
KR4401Q6SCS6,401Q6SCS,코스피200 SP 2006-2212 (주간),-,0,-,-,-,-,250.28,0.00,0,0,-,FU,2020-04-24,KRDRVFUK2I
