ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,SPOT_PRC,SETL_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4101SC0009,101SC000,코스피200 F 202212 (주간),291.30,2,-3.20,294.30,295.80,291.30,291.29,291.30,"351,372","25,799,811,162,500","336,361",FU,20221019,KRDRVFUK2I
KR4101T30009,101T3000,코스피200 F 202303 (주간),289.05,2,-3.15,292.15,293.55,289.05,291.29,289.05,"1,644","119,899,825,000","16,467",FU,20221019,KRDRVFUK2I
KR4101T60006,101T6000,코스피200 F 202306 (주간),295.20,1,2.50,295.40,295.40,295.20,291.29,295.20,4,"295,325,000","16,233",FU,20221019,KRDRVFUK2I
KR4101T90003,101T9000,코스피200 F 202309 (주간),-,0,-,-,-,-,291.29,292.90,1,"73,500,000","1,350",FU,20221019,KRDRVFUK2I
KR4101TC0008,101TC000,코스피200 F 202312 (주간),-,0,-,-,-,-,291.29,294.90,144,"10,728,000,000","22,996",FU,20221019,KRDRVFUK2I
KR4101V60002,101V6000,코스피200 F 202406 (주간),-,0,-,-,-,-,291.29,294.50,0,0,579,FU,20221019,KRDRVFUK2I
KR4101VC0004,101VC000,코스피200 F 202412 (주간),-,0,-,-,-,-,291.29,298.00,0,0,"4,130",FU,20221019,KRDRVFUK2I
KR4401SCT3S8,401SCT3S,코스피200 SP 2212-2303 (주간),-2.20,2,-2.20,-2.15,-2.15,-2.25,291.29,0.00,163,"23,881,737,500",-,FU,20221019,KRDRVFUK2I
KR4401SCT6S1,401SCT6S,코스피200 SP 2212-2306 (주간),-0.15,2,-0.15,-0.15,-0.15,-0.15,291.29,0.00,2,"295,275,000",-,FU,20221019,KRDRVFUK2I
KR4401SCT9S5,401SCT9S,코스피200 SP 2212-2309 (주간),-,0,-,-,-,-,291.29,0.00,0,0,-,FU,20221019,KRDRVFUK2I
KR4401SCTCS8,401SCTCS,코스피200 SP 2212-2312 (주간),-,0,-,-,-,-,291.29,0.00,0,0,-,FU,20221019,KRDRVFUK2I
KR4401SCV6S7,401SCV6S,코스피200 SP 2212-2406 (주간),-,0,-,-,-,-,291.29,0.00,0,0,-,FU,20221019,KRDRVFUK2I
KR4401SCVCS4,401SCVCS,코스피200 SP 2212-2412 (주간),-,0,-,-,-,-,291.29,0.00,0,0,-,FU,20221019,KRDRVFUK2I
