ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,SPOT_PRC,SETL_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4101DC0006,101DC000,코스피200 F 200912 (주간),216.20,1,1.55,215.05,216.55,214.15,215.81,216.20,"244,797","26,398,457,875,000","106,227",FU,20090911,KRDRVFUK2I
KR4101E30001,101E3000,코스피200 F 201003 (주간),214.45,1,0.95,213.70,214.80,212.80,215.81,214.45,155,"16,602,175,000",562,FU,20090911,KRDRVFUK2I
KR4101E60008,101E6000,코스피200 F 201006 (주간),-,1,-,-,-,-,215.81,214.45,0,0,118,FU,20090911,KRDRVFUK2I
KR4101E90005,101E9000,코스피200 F 201009 (주간),-,2,-,-,-,-,215.81,216.00,0,0,3,FU,20090911,KRDRVFUK2I
KR4401DCE3S2,401DCE3S,코스피200 SP 0912-1003 (주간),-1.60,2,-1.60,-1.40,-1.40,-1.65,215.81,0.00,206,"44,261,425,000",-,FU,20090911,KRDRVFUK2I
KR4401DCE6S5,401DCE6S,코스피200 SP 0912-1006 (주간),-,0,-,-,-,-,215.81,0.00,0,0,-,FU,20090911,KRDRVFUK2I
KR4401DCE9S9,401DCE9S,코스피200 SP 0912-1009 (주간),0.00,3,0.00,0.40,0.40,0.00,215.81,0.00,3,"647,200,000",-,FU,20090911,KRDRVFUK2I
