ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,SPOT_PRC,SETL_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4101E90005,101E9000,코스피200 F 201009 (야간),231.70,2,-0.65,232.55,233.20,230.65,231.16,0.00,"5,431","630,171,800,000","90,693",FU,2010-07-29,KRDRVFUK2I
KR4101E90005,101E9000,코스피200 F 201009 (주간),232.35,2,-0.45,231.80,232.75,231.70,231.16,232.35,"209,653","24,342,606,875,000","90,629",FU,2010-07-29,KRDRVFUK2I
KR4101EC0005,101EC000,코스피200 F 201012 (야간),232.80,2,-0.20,231.90,232.80,231.90,231.16,0.00,20,"2,320,675,000","2,581",FU,2010-07-29,KRDRVFUK2I
KR4101EC0005,101EC000,코스피200 F 201012 (주간),233.00,2,-0.50,232.85,233.45,232.70,231.16,233.00,147,"17,128,225,000","2,572",FU,2010-07-29,KRDRVFUK2I
KR4101F30008,101F3000,코스피200 F 201103 (야간),-,0,-,-,-,-,231.16,0.00,0,0,"1,043",FU,2010-07-29,KRDRVFUK2I
KR4101F30008,101F3000,코스피200 F 201103 (주간),-,2,-,-,-,-,231.16,231.10,0,0,"1,043",FU,2010-07-29,KRDRVFUK2I
KR4101F60005,101F6000,코스피200 F 201106 (야간),-,0,-,-,-,-,231.16,0.00,0,0,94,FU,2010-07-29,KRDRVFUK2I
KR4101F60005,101F6000,코스피200 F 201106 (주간),-,2,-,-,-,-,231.16,232.00,0,0,94,FU,2010-07-29,KRDRVFUK2I
KR4401E9ECS4,401E9ECS,코스피200 SP 1009-1012 (주간),0.75,1,0.75,0.80,0.80,0.75,231.16,0.00,45,"10,465,575,000",-,FU,2010-07-29,KRDRVFUK2I
KR4401E9F3S7,401E9F3S,코스피200 SP 1009-1103 (주간),-,0,-,-,-,-,231.16,0.00,0,0,-,FU,2010-07-29,KRDRVFUK2I
KR4401E9F6S0,401E9F6S,코스피200 SP 1009-1106 (주간),-,0,-,-,-,-,231.16,0.00,0,0,-,FU,2010-07-29,KRDRVFUK2I
