ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,SPOT_PRC,SETL_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4101D90007,101D9000,코스피200 F 200909 (주간),179.15,2,-0.45,180.00,181.30,178.35,178.81,179.15,"271,463","24,405,795,150,000","111,107",FU,20090629,KRDRVFUK2I
KR4101DC0006,101DC000,코스피200 F 200912 (주간),179.25,2,-0.15,180.15,181.40,178.65,178.81,179.25,138,"12,388,450,000","3,074",FU,20090629,KRDRVFUK2I
KR4101E30001,101E3000,코스피200 F 201003 (주간),-,1,-,-,-,-,178.81,178.15,0,0,124,FU,20090629,KRDRVFUK2I
KR4101E60008,101E6000,코스피200 F 201006 (주간),-,1,-,-,-,-,178.81,179.10,0,0,10,FU,20090629,KRDRVFUK2I
KR4401D9DCS7,401D9DCS,코스피200 SP 0909-0912 (주간),0.20,1,0.20,0.25,0.25,0.20,178.81,0.00,124,"22,362,875,000",-,FU,20090629,KRDRVFUK2I
KR4401D9E3S0,401D9E3S,코스피200 SP 0909-1003 (주간),-,0,-,-,-,-,178.81,0.00,0,0,-,FU,20090629,KRDRVFUK2I
KR4401D9E6S3,401D9E6S,코스피200 SP 0909-1006 (주간),-,0,-,-,-,-,178.81,0.00,0,0,-,FU,20090629,KRDRVFUK2I
