ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,SPOT_PRC,SETL_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4101P60004,101P6000,코스피200 F 201906 (야간),272.10,1,0.40,271.60,272.55,271.25,272.10,0.00,"20,973","1,425,446,900,000","273,559",FU,2019-06-10,KRDRVFUK2I
KR4101P60004,101P6000,코스피200 F 201906 (주간),271.70,1,4.10,269.70,272.25,268.40,272.10,271.70,"284,775","19,252,576,350,000","272,872",FU,2019-06-10,KRDRVFUK2I
KR4101P90001,101P9000,코스피200 F 201909 (야간),272.30,1,0.20,272.00,272.80,271.70,272.10,0.00,746,"50,759,650,000","123,738",FU,2019-06-10,KRDRVFUK2I
KR4101P90001,101P9000,코스피200 F 201909 (주간),272.10,1,4.40,269.95,272.50,268.70,272.10,272.10,"56,108","3,794,568,762,500","123,809",FU,2019-06-10,KRDRVFUK2I
KR4101PC0002,101PC000,코스피200 F 201912 (야간),272.30,1,0.30,271.75,272.50,271.55,272.10,0.00,24,"1,630,262,500","41,833",FU,2019-06-10,KRDRVFUK2I
KR4101PC0002,101PC000,코스피200 F 201912 (주간),272.00,1,4.60,271.00,272.35,267.70,272.10,272.00,"3,656","246,867,200,000","41,811",FU,2019-06-10,KRDRVFUK2I
KR4101Q30005,101Q3000,코스피200 F 202003 (야간),-,0,-,-,-,-,272.10,0.00,0,0,"1,128",FU,2019-06-10,KRDRVFUK2I
KR4101Q30005,101Q3000,코스피200 F 202003 (주간),269.15,1,2.55,268.85,269.50,268.85,272.10,269.15,5,"336,475,000","1,128",FU,2019-06-10,KRDRVFUK2I
KR4101Q60002,101Q6000,코스피200 F 202006 (야간),-,0,-,-,-,-,272.10,0.00,0,0,"6,204",FU,2019-06-10,KRDRVFUK2I
KR4101Q60002,101Q6000,코스피200 F 202006 (주간),269.50,1,3.00,267.10,269.50,267.10,272.10,269.50,3,"201,125,000","6,204",FU,2019-06-10,KRDRVFUK2I
KR4101QC0001,101QC000,코스피200 F 202012 (야간),-,0,-,-,-,-,272.10,0.00,0,0,"18,743",FU,2019-06-10,KRDRVFUK2I
KR4101QC0001,101QC000,코스피200 F 202012 (주간),-,0,-,-,-,-,272.10,271.25,0,0,"18,743",FU,2019-06-10,KRDRVFUK2I
KR4101RC0000,101RC000,코스피200 F 202112 (야간),-,0,-,-,-,-,272.10,0.00,0,0,"4,262",FU,2019-06-10,KRDRVFUK2I
KR4101RC0000,101RC000,코스피200 F 202112 (주간),264.90,2,-0.50,265.40,265.40,264.90,272.10,264.90,2,"132,575,000","4,262",FU,2019-06-10,KRDRVFUK2I
KR4401P6P9S1,401P6P9S,코스피200 SP 1906-1909 (주간),0.35,1,0.35,0.25,0.35,0.20,272.10,0.00,"112,420","15,216,734,462,500",-,FU,2019-06-10,KRDRVFUK2I
KR4401P6PCS3,401P6PCS,코스피200 SP 1906-1912 (주간),0.40,1,0.40,0.40,0.40,0.40,272.10,0.00,70,"9,435,250,000",-,FU,2019-06-10,KRDRVFUK2I
KR4401P6Q3S3,401P6Q3S,코스피200 SP 1906-2003 (주간),-2.95,2,-2.95,-2.70,-2.70,-2.95,272.10,0.00,64,"8,633,562,500",-,FU,2019-06-10,KRDRVFUK2I
KR4401P6Q6S6,401P6Q6S,코스피200 SP 1906-2006 (주간),-3.00,2,-3.00,-2.70,-2.70,-3.00,272.10,0.00,90,"12,156,250,000",-,FU,2019-06-10,KRDRVFUK2I
KR4401P6QCS1,401P6QCS,코스피200 SP 1906-2012 (주간),-,0,-,-,-,-,272.10,0.00,0,0,-,FU,2019-06-10,KRDRVFUK2I
KR4401P6RCS9,401P6RCS,코스피200 SP 1906-2112 (주간),-,0,-,-,-,-,272.10,0.00,0,0,-,FU,2019-06-10,KRDRVFUK2I
