ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,SPOT_PRC,SETL_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4101N90006,101N9000,코스피200 F 201809 (야간),294.20,2,-0.50,294.40,294.80,293.60,294.96,0.00,"21,283","1,565,117,562,500","315,725",FU,2018-09-05,KRDRVFUK2I
KR4101N90006,101N9000,코스피200 F 201809 (주간),294.70,2,-4.25,297.85,298.40,294.40,294.96,294.70,"231,495","17,186,728,475,000","315,574",FU,2018-09-05,KRDRVFUK2I
KR4101NC0004,101NC000,코스피200 F 201812 (야간),294.90,2,-0.10,294.60,294.90,294.00,294.96,0.00,142,"10,451,137,500","60,917",FU,2018-09-05,KRDRVFUK2I
KR4101NC0004,101NC000,코스피200 F 201812 (주간),295.00,2,-4.25,298.15,298.70,294.80,294.96,295.00,"4,855","360,682,012,500","60,881",FU,2018-09-05,KRDRVFUK2I
KR4101P30007,101P3000,코스피200 F 201903 (야간),291.00,2,-1.40,292.05,292.05,291.00,294.96,0.00,3,"218,512,500","6,071",FU,2018-09-05,KRDRVFUK2I
KR4101P30007,101P3000,코스피200 F 201903 (주간),292.40,2,-3.45,294.60,294.80,292.00,294.96,292.40,"2,515","185,028,650,000","6,068",FU,2018-09-05,KRDRVFUK2I
KR4101P60004,101P6000,코스피200 F 201906 (야간),295.05,2,-1.20,295.05,295.05,295.05,294.96,0.00,1,"73,762,500","12,632",FU,2018-09-05,KRDRVFUK2I
KR4101P60004,101P6000,코스피200 F 201906 (주간),296.25,2,-0.45,296.25,296.25,296.25,294.96,296.25,1,"74,062,500","12,631",FU,2018-09-05,KRDRVFUK2I
KR4101PC0002,101PC000,코스피200 F 201912 (야간),-,0,-,-,-,-,294.96,0.00,0,0,"13,534",FU,2018-09-05,KRDRVFUK2I
KR4101PC0002,101PC000,코스피200 F 201912 (주간),-,0,-,-,-,-,294.96,294.90,0,0,"13,534",FU,2018-09-05,KRDRVFUK2I
KR4101Q60002,101Q6000,코스피200 F 202006 (야간),-,0,-,-,-,-,294.96,0.00,0,0,142,FU,2018-09-05,KRDRVFUK2I
KR4101Q60002,101Q6000,코스피200 F 202006 (주간),-,0,-,-,-,-,294.96,292.45,0,0,142,FU,2018-09-05,KRDRVFUK2I
KR4101QC0001,101QC000,코스피200 F 202012 (야간),-,0,-,-,-,-,294.96,0.00,0,0,"4,175",FU,2018-09-05,KRDRVFUK2I
KR4101QC0001,101QC000,코스피200 F 202012 (주간),-,0,-,-,-,-,294.96,294.05,0,0,"4,175",FU,2018-09-05,KRDRVFUK2I
KR4401N9NCS4,401N9NCS,코스피200 SP 1809-1812 (주간),0.30,1,0.30,0.35,0.35,0.25,294.96,0.00,"2,993","445,452,512,500",-,FU,2018-09-05,KRDRVFUK2I
KR4401N9P3S6,401N9P3S,코스피200 SP 1809-1903 (주간),-2.90,2,-2.90,-2.90,-2.90,-2.95,294.96,0.00,22,"3,242,700,000",-,FU,2018-09-05,KRDRVFUK2I
KR4401N9P6S9,401N9P6S,코스피200 SP 1809-1906 (주간),-,0,-,-,-,-,294.96,0.00,0,0,-,FU,2018-09-05,KRDRVFUK2I
KR4401N9PCS9,401N9PCS,코스피200 SP 1809-1912 (주간),-,0,-,-,-,-,294.96,0.00,0,0,-,FU,2018-09-05,KRDRVFUK2I
KR4401N9Q6S8,401N9Q6S,코스피200 SP 1809-2006 (주간),-,0,-,-,-,-,294.96,0.00,0,0,-,FU,2018-09-05,KRDRVFUK2I
KR4401N9QCS7,401N9QCS,코스피200 SP 1809-2012 (주간),-,0,-,-,-,-,294.96,0.00,0,0,-,FU,2018-09-05,KRDRVFUK2I
