ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,SPOT_PRC,SETL_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4101S30001,101S3000,코스피200 F 202203 (주간),352.80,2,-8.35,354.00,354.90,350.50,353.03,352.80,"334,248","29,473,803,192,500","212,828",FU,20220307,KRDRVFUK2I
KR4101S60008,101S6000,코스피200 F 202206 (주간),352.50,2,-8.50,354.45,355.10,350.50,353.03,352.50,"44,548","3,928,017,427,500","112,779",FU,20220307,KRDRVFUK2I
KR4101S90005,101S9000,코스피200 F 202209 (주간),352.55,2,-9.05,356.00,356.00,350.95,353.03,352.55,16,"1,411,287,500","5,728",FU,20220307,KRDRVFUK2I
KR4101SC0009,101SC000,코스피200 F 202212 (주간),353.70,2,-7.75,356.00,356.00,351.90,353.03,353.70,707,"62,569,175,000","12,069",FU,20220307,KRDRVFUK2I
KR4101T60006,101T6000,코스피200 F 202306 (주간),-,0,-,-,-,-,353.03,352.50,0,0,"1,802",FU,20220307,KRDRVFUK2I
KR4101TC0008,101TC000,코스피200 F 202312 (주간),-,0,-,-,-,-,353.03,353.45,0,0,"5,256",FU,20220307,KRDRVFUK2I
KR4101VC0004,101VC000,코스피200 F 202412 (주간),350.00,2,-11.00,350.00,350.00,350.00,353.03,350.00,1,"87,500,000",872,FU,20220307,KRDRVFUK2I
KR4401S3S6S1,401S3S6S,코스피200 SP 2203-2206 (주간),-0.10,2,-0.10,0.15,0.20,-0.10,353.03,0.00,"116,406","20,513,406,350,000",-,FU,20220307,KRDRVFUK2I
KR4401S3S9S5,401S3S9S,코스피200 SP 2203-2209 (주간),-0.05,2,-0.05,-0.05,-0.05,-0.05,353.03,0.00,4,"706,550,000",-,FU,20220307,KRDRVFUK2I
KR4401S3SCS1,401S3SCS,코스피200 SP 2203-2212 (주간),-,0,-,-,-,-,353.03,0.00,0,0,-,FU,20220307,KRDRVFUK2I
KR4401S3T6S0,401S3T6S,코스피200 SP 2203-2306 (주간),-,0,-,-,-,-,353.03,0.00,0,0,-,FU,20220307,KRDRVFUK2I
KR4401S3TCS9,401S3TCS,코스피200 SP 2203-2312 (주간),-,0,-,-,-,-,353.03,0.00,0,0,-,FU,20220307,KRDRVFUK2I
KR4401S3VCS5,401S3VCS,코스피200 SP 2203-2412 (주간),-,0,-,-,-,-,353.03,0.00,0,0,-,FU,20220307,KRDRVFUK2I
