ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,SPOT_PRC,SETL_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4101560000,10156000,KOSPI 200 선물 0506 (주간),125.30,1,0.40,125.50,126.40,125.00,125.04,125.30,"159,202","10,009,987,650,000","102,098",FU,2005-06-02,KRDRVFUK2I
KR4101590000,10159000,KOSPI 200 선물 0509 (주간),125.05,2,-0.10,125.65,126.35,125.05,125.04,125.05,"2,343","147,371,300,000","10,064",FU,2005-06-02,KRDRVFUK2I
KR41015C0000,1015C000,KOSPI 200 선물 0512 (주간),125.50,1,0.60,126.15,126.15,125.50,125.04,125.50,5,"314,450,000",181,FU,2005-06-02,KRDRVFUK2I
KR4101A30000,101A3000,KOSPI 200 선물 0603 (주간),124.60,1,0.40,124.95,125.20,124.10,125.04,124.60,8,"499,375,000",91,FU,2005-06-02,KRDRVFUK2I
KR44015659S0,4015659S,KOSPI 200 선물 스프레드 5659S (주간),0.05,1,0.05,0.05,0.10,0.00,125.04,0.00,"2,368","297,586,975,000",-,FU,2005-06-02,KRDRVFUK2I
KR4401565CS0,401565CS,KOSPI 200 선물 스프레드 565CS (주간),-,3,-,-,-,-,125.04,0.00,0,0,-,FU,2005-06-02,KRDRVFUK2I
KR440156A3S0,40156A3S,KOSPI 200 선물 스프레드 56A3S (주간),-,3,-,-,-,-,125.04,0.00,0,0,-,FU,2005-06-02,KRDRVFUK2I
