ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,SPOT_PRC,SETL_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4101E90005,101E9000,코스피200 F 201009 (야간),228.15,1,1.65,226.35,228.45,225.15,225.84,0.00,"5,848","661,134,475,000","90,634",FU,2010-07-20,KRDRVFUK2I
KR4101E90005,101E9000,코스피200 F 201009 (주간),226.50,1,0.90,225.00,227.05,224.35,225.84,226.50,"372,556","42,026,382,700,000","90,103",FU,2010-07-20,KRDRVFUK2I
KR4101EC0005,101EC000,코스피200 F 201012 (야간),228.30,1,1.30,225.55,228.30,225.35,225.84,0.00,31,"3,505,225,000","2,251",FU,2010-07-20,KRDRVFUK2I
KR4101EC0005,101EC000,코스피200 F 201012 (주간),227.00,1,0.50,225.60,227.70,225.00,225.84,227.00,149,"16,819,725,000","2,228",FU,2010-07-20,KRDRVFUK2I
KR4101F30008,101F3000,코스피200 F 201103 (야간),-,0,-,-,-,-,225.84,0.00,0,0,964,FU,2010-07-20,KRDRVFUK2I
KR4101F30008,101F3000,코스피200 F 201103 (주간),224.90,1,0.40,224.50,225.65,224.50,225.84,224.90,7,"787,675,000",964,FU,2010-07-20,KRDRVFUK2I
KR4101F60005,101F6000,코스피200 F 201106 (야간),-,0,-,-,-,-,225.84,0.00,0,0,105,FU,2010-07-20,KRDRVFUK2I
KR4101F60005,101F6000,코스피200 F 201106 (주간),223.95,2,-1.60,223.95,223.95,223.95,225.84,223.95,1,"111,975,000",105,FU,2010-07-20,KRDRVFUK2I
KR4401E9ECS4,401E9ECS,코스피200 SP 1009-1012 (주간),0.70,1,0.70,0.65,0.70,0.60,225.84,0.00,70,"15,821,575,000",-,FU,2010-07-20,KRDRVFUK2I
KR4401E9F3S7,401E9F3S,코스피200 SP 1009-1103 (주간),-1.25,2,-1.25,-1.25,-1.25,-1.25,225.84,0.00,1,"226,025,000",-,FU,2010-07-20,KRDRVFUK2I
KR4401E9F6S0,401E9F6S,코스피200 SP 1009-1106 (주간),-,0,-,-,-,-,225.84,0.00,0,0,-,FU,2010-07-20,KRDRVFUK2I
