ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,SPOT_PRC,SETL_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4101G90000,101G9000,코스피200 F 201209 (야간),251.80,1,0.65,251.45,252.20,251.25,251.23,0.00,"10,110","1,272,237,375,000","109,474",FU,20120903,KRDRVFUK2I
KR4101G90000,101G9000,코스피200 F 201209 (주간),251.15,1,1.05,250.35,253.10,247.30,251.23,251.15,"328,414","41,103,963,600,000","109,769",FU,20120903,KRDRVFUK2I
KR4101GC0003,101GC000,코스피200 F 201212 (야간),253.70,1,0.55,253.20,253.70,253.20,251.23,0.00,4,"507,050,000","8,530",FU,20120903,KRDRVFUK2I
KR4101GC0003,101GC000,코스피200 F 201212 (주간),253.15,1,1.25,252.35,254.80,249.20,251.23,253.15,"1,175","148,161,725,000","8,530",FU,20120903,KRDRVFUK2I
KR4101H30004,101H3000,코스피200 F 201303 (야간),-,0,-,-,-,-,251.23,0.00,0,0,847,FU,20120903,KRDRVFUK2I
KR4101H30004,101H3000,코스피200 F 201303 (주간),253.10,1,1.65,250.05,253.10,250.05,251.23,253.10,2,"251,575,000",847,FU,20120903,KRDRVFUK2I
KR4101H60001,101H6000,코스피200 F 201306 (야간),-,0,-,-,-,-,251.23,0.00,0,0,"1,052",FU,20120903,KRDRVFUK2I
KR4101H60001,101H6000,코스피200 F 201306 (주간),253.00,2,-0.15,251.50,253.00,251.50,251.23,253.00,2,"252,250,000","1,052",FU,20120903,KRDRVFUK2I
KR4401G9GCS7,401G9GCS,코스피200 SP 1209-1212 (주간),1.75,1,1.75,1.80,1.80,1.70,251.23,0.00,"1,392","346,975,375,000",-,FU,20120903,KRDRVFUK2I
KR4401G9H3S0,401G9H3S,코스피200 SP 1209-1303 (주간),1.10,1,1.10,1.10,1.10,1.10,251.23,0.00,50,"12,408,000,000",-,FU,20120903,KRDRVFUK2I
KR4401G9H6S3,401G9H6S,코스피200 SP 1209-1306 (주간),2.15,1,2.15,2.15,2.15,2.15,251.23,0.00,53,"13,406,775,000",-,FU,20120903,KRDRVFUK2I
