ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,SPOT_PRC,SETL_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4101B30000,101B3000,KOSPI 200 선물 0703 (주간),184.40,1,0.90,183.85,184.95,183.30,183.73,184.40,"153,372","14,125,734,550,000","94,340",FU,20070205,KRDRVFUK2I
KR4101B60000,101B6000,KOSPI 200 선물 0706 (주간),186.65,1,1.00,185.80,186.90,185.35,183.73,186.65,421,"39,232,850,000","3,329",FU,20070205,KRDRVFUK2I
KR4101B90000,101B9000,KOSPI 200 선물 0709 (주간),-,1,-,-,-,-,183.73,188.05,0,0,209,FU,20070205,KRDRVFUK2I
KR4101BC0000,101BC000,KOSPI 200 선물 0712 (주간),-,1,-,-,-,-,183.73,189.40,0,0,122,FU,20070205,KRDRVFUK2I
KR4401B3B6S0,401B3B6S,KOSPI 200 선물 스프레드 B3B6S (주간),1.90,1,1.90,1.90,1.95,1.90,183.73,0.00,394,"72,902,050,000",-,FU,20070205,KRDRVFUK2I
KR4401B3B9S0,401B3B9S,KOSPI 200 선물 스프레드 B3B9S (주간),-,3,-,-,-,-,183.73,0.00,0,0,-,FU,20070205,KRDRVFUK2I
KR4401B3BCS0,401B3BCS,KOSPI 200 선물 스프레드 B3BCS (주간),-,3,-,-,-,-,183.73,0.00,0,0,-,FU,20070205,KRDRVFUK2I
