ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,SPOT_PRC,SETL_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4101G30006,101G3000,코스피200 F 201203 (야간),262.45,2,-0.60,263.25,263.80,262.30,262.38,0.00,"19,469","2,561,674,950,000","108,516",FU,2012-02-14,KRDRVFUK2I
KR4101G30006,101G3000,코스피200 F 201203 (주간),263.05,2,-0.45,262.40,263.75,262.00,262.38,263.05,"207,502","27,274,463,925,000","108,502",FU,2012-02-14,KRDRVFUK2I
KR4101G60003,101G6000,코스피200 F 201206 (야간),-,0,-,-,-,-,262.38,0.00,0,0,"5,450",FU,2012-02-14,KRDRVFUK2I
KR4101G60003,101G6000,코스피200 F 201206 (주간),264.60,2,-0.75,264.15,265.30,263.75,262.38,264.60,117,"15,479,475,000","5,450",FU,2012-02-14,KRDRVFUK2I
KR4101G90000,101G9000,코스피200 F 201209 (야간),-,0,-,-,-,-,262.38,0.00,0,0,"1,139",FU,2012-02-14,KRDRVFUK2I
KR4101G90000,101G9000,코스피200 F 201209 (주간),-,2,-,-,-,-,262.38,267.15,0,0,"1,139",FU,2012-02-14,KRDRVFUK2I
KR4101GC0003,101GC000,코스피200 F 201212 (야간),-,0,-,-,-,-,262.38,0.00,0,0,246,FU,2012-02-14,KRDRVFUK2I
KR4101GC0003,101GC000,코스피200 F 201212 (주간),-,2,-,-,-,-,262.38,269.45,0,0,246,FU,2012-02-14,KRDRVFUK2I
KR4401G3G6S0,401G3G6S,코스피200 SP 1203-1206 (주간),1.65,1,1.65,1.65,1.65,1.60,262.38,0.00,363,"95,727,700,000",-,FU,2012-02-14,KRDRVFUK2I
KR4401G3G9S4,401G3G9S,코스피200 SP 1203-1209 (주간),-,0,-,-,-,-,262.38,0.00,0,0,-,FU,2012-02-14,KRDRVFUK2I
KR4401G3GCS0,401G3GCS,코스피200 SP 1203-1212 (주간),-,0,-,-,-,-,262.38,0.00,0,0,-,FU,2012-02-14,KRDRVFUK2I
