ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,SPOT_PRC,SETL_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4101G30006,101G3000,코스피200 F 201203 (야간),257.95,2,-4.85,262.40,262.40,257.90,262.85,0.00,"28,325","3,686,692,475,000","92,340",FU,2012-03-06,KRDRVFUK2I
KR4101G30006,101G3000,코스피200 F 201203 (주간),262.80,2,-2.40,265.60,266.30,261.30,262.85,262.80,"295,822","38,964,060,125,000","90,346",FU,2012-03-06,KRDRVFUK2I
KR4101G60003,101G6000,코스피200 F 201206 (야간),260.00,2,-4.50,264.20,264.30,260.00,262.85,0.00,211,"27,709,250,000","42,764",FU,2012-03-06,KRDRVFUK2I
KR4101G60003,101G6000,코스피200 F 201206 (주간),264.50,2,-3.00,266.25,268.15,263.40,262.85,264.50,"10,158","1,347,476,275,000","42,749",FU,2012-03-06,KRDRVFUK2I
KR4101G90000,101G9000,코스피200 F 201209 (야간),-,0,-,-,-,-,262.85,0.00,0,0,"1,432",FU,2012-03-06,KRDRVFUK2I
KR4101G90000,101G9000,코스피200 F 201209 (주간),265.85,2,-3.55,265.85,265.85,265.85,262.85,265.85,1,"132,925,000","1,432",FU,2012-03-06,KRDRVFUK2I
KR4101GC0003,101GC000,코스피200 F 201212 (야간),-,0,-,-,-,-,262.85,0.00,0,0,"1,298",FU,2012-03-06,KRDRVFUK2I
KR4101GC0003,101GC000,코스피200 F 201212 (주간),-,2,-,-,-,-,262.85,269.30,0,0,"1,298",FU,2012-03-06,KRDRVFUK2I
KR4401G3G6S0,401G3G6S,코스피200 SP 1203-1206 (주간),2.00,1,2.00,1.85,2.10,1.85,262.85,0.00,"37,891","10,048,320,950,000",-,FU,2012-03-06,KRDRVFUK2I
KR4401G3G9S4,401G3G9S,코스피200 SP 1203-1209 (주간),3.45,1,3.45,3.40,3.60,3.40,262.85,0.00,198,"52,409,400,000",-,FU,2012-03-06,KRDRVFUK2I
KR4401G3GCS0,401G3GCS,코스피200 SP 1203-1212 (주간),4.70,1,4.70,4.55,4.75,4.55,262.85,0.00,656,"174,487,550,000",-,FU,2012-03-06,KRDRVFUK2I
