ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,IMP_VOLT,NXTDD_BAS_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4201F32150,201F3215,코스피200 C 201103 215.0,43.80,1,1.30,43.10,43.80,41.85,32.00,43.80,28,"120,855,000","4,077",OP,2011-02-25,KRDRVOPK2I
KR4201F32176,201F3217,코스피200 C 201103 217.5,40.60,3,0.00,40.60,40.60,40.60,3.00,40.60,5,"20,300,000",312,OP,2011-02-25,KRDRVOPK2I
KR4201F32200,201F3220,코스피200 C 201103 220.0,38.15,1,0.10,38.15,38.15,38.15,3.00,38.15,5,"19,075,000","1,265",OP,2011-02-25,KRDRVOPK2I
KR4201F32226,201F3222,코스피200 C 201103 222.5,35.65,1,0.05,35.65,35.65,35.65,3.00,35.65,5,"17,825,000",95,OP,2011-02-25,KRDRVOPK2I
KR4201F32259,201F3225,코스피200 C 201103 225.0,33.15,1,0.10,33.15,33.15,33.15,3.00,33.15,5,"16,575,000",522,OP,2011-02-25,KRDRVOPK2I
KR4201F32275,201F3227,코스피200 C 201103 227.5,30.65,3,0.00,30.65,30.65,30.65,3.00,30.65,5,"15,325,000",54,OP,2011-02-25,KRDRVOPK2I
KR4201F32309,201F3230,코스피200 C 201103 230.0,29.50,1,2.15,28.20,29.50,28.20,16.00,29.50,7,"19,920,000","2,459",OP,2011-02-25,KRDRVOPK2I
KR4201F32325,201F3232,코스피200 C 201103 232.5,25.70,3,0.00,25.70,25.70,25.70,3.00,25.70,5,"12,850,000",65,OP,2011-02-25,KRDRVOPK2I
KR4201F32358,201F3235,코스피200 C 201103 235.0,24.35,1,0.90,23.25,24.35,23.25,16.00,24.35,6,"14,060,000","2,971",OP,2011-02-25,KRDRVOPK2I
KR4201F32374,201F3237,코스피200 C 201103 237.5,20.80,3,0.00,20.80,20.80,20.80,3.00,20.80,5,"10,400,000",22,OP,2011-02-25,KRDRVOPK2I
