ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,IMP_VOLT,NXTDD_BAS_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4201K52109,201K5210,코스피200 C 201505 210.0,54.20,1,0.15,54.55,54.55,54.20,48.00,54.20,50,"1,360,250,000",823,OP,2015-04-14,KRDRVOPK2I
KR4201K52125,201K5212,코스피200 C 201505 212.5,52.95,1,1.45,53.00,53.00,52.95,32.00,52.95,2,"52,975,000",11,OP,2015-04-14,KRDRVOPK2I
KR4201K52158,201K5215,코스피200 C 201505 215.0,49.95,1,1.00,49.95,49.95,49.95,32.00,49.95,1,"24,975,000",7,OP,2015-04-14,KRDRVOPK2I
KR4201K52174,201K5217,코스피200 C 201505 217.5,47.75,1,1.30,47.75,47.75,47.75,32.00,47.75,2,"47,750,000",7,OP,2015-04-14,KRDRVOPK2I
KR4201K52208,201K5220,코스피200 C 201505 220.0,45.45,1,1.65,45.45,45.45,45.45,40.00,45.45,1,"22,725,000",16,OP,2015-04-14,KRDRVOPK2I
KR4201K52224,201K5222,코스피200 C 201505 222.5,42.85,1,1.30,42.85,42.85,42.85,32.00,42.85,1,"21,425,000",14,OP,2015-04-14,KRDRVOPK2I
KR4201K52257,201K5225,코스피200 C 201505 225.0,40.25,1,1.35,39.00,40.25,39.00,32.00,40.25,2,"39,625,000",25,OP,2015-04-14,KRDRVOPK2I
KR4201K52273,201K5227,코스피200 C 201505 227.5,37.80,1,1.00,37.80,37.80,37.80,16.00,37.80,2,"37,800,000",21,OP,2015-04-14,KRDRVOPK2I
KR4201K52307,201K5230,코스피200 C 201505 230.0,35.55,1,1.20,35.55,35.55,35.55,16.00,35.55,1,"17,775,000",80,OP,2015-04-14,KRDRVOPK2I
KR4201K52323,201K5232,코스피200 C 201505 232.5,32.90,1,1.40,32.90,32.90,32.90,16.00,32.90,1,"16,450,000",134,OP,2015-04-14,KRDRVOPK2I
KR4201K52356,201K5235,코스피200 C 201505 235.0,30.60,1,1.35,30.60,30.60,30.60,24.00,30.60,1,"15,300,000",18,OP,2015-04-14,KRDRVOPK2I
KR4201K52372,201K5237,코스피200 C 201505 237.5,28.00,1,1.30,28.00,28.00,28.00,16.00,28.00,1,"14,000,000",10,OP,2015-04-14,KRDRVOPK2I
KR4201K52406,201K5240,코스피200 C 201505 240.0,25.65,1,1.65,25.65,25.65,25.65,20.00,25.65,1,"12,825,000",329,OP,2015-04-14,KRDRVOPK2I
KR4201K52422,201K5242,코스피200 C 201505 242.5,23.30,1,1.60,23.30,23.30,23.30,22.00,23.30,1,"11,650,000",61,OP,2015-04-14,KRDRVOPK2I
KR4201K52455,201K5245,코스피200 C 201505 245.0,20.80,1,1.80,19.60,20.80,19.40,3.00,20.80,15,"150,700,000",132,OP,2015-04-14,KRDRVOPK2I
KR4201K52471,201K5247,코스피200 C 201505 247.5,18.35,1,2.35,17.60,18.35,17.60,3.00,18.35,9,"80,950,000",229,OP,2015-04-14,KRDRVOPK2I
KR4201K52505,201K5250,코스피200 C 201505 250.0,15.95,1,1.75,14.45,16.05,14.45,8.00,15.95,57,"438,600,000",917,OP,2015-04-14,KRDRVOPK2I
KR4201K52521,201K5252,코스피200 C 201505 252.5,13.45,1,1.50,12.10,14.00,12.10,8.00,13.45,110,"727,200,000","1,611",OP,2015-04-14,KRDRVOPK2I
KR4201K52554,201K5255,코스피200 C 201505 255.0,11.20,1,1.40,9.90,11.70,9.90,10.00,11.20,169,"926,750,000","3,260",OP,2015-04-14,KRDRVOPK2I
KR4201K52570,201K5257,코스피200 C 201505 257.5,9.00,1,1.15,7.90,9.65,7.75,10.00,9.00,342,"1,486,500,000","3,959",OP,2015-04-14,KRDRVOPK2I
KR4201K52604,201K5260,코스피200 C 201505 260.0,6.95,1,1.00,6.00,7.60,5.90,10.00,6.95,"3,088","10,570,300,000","8,625",OP,2015-04-14,KRDRVOPK2I
KR4201K52620,201K5262,코스피200 C 201505 262.5,5.25,1,0.95,4.35,5.85,4.25,10.00,5.25,"5,973","14,935,725,000","11,439",OP,2015-04-14,KRDRVOPK2I
KR4201K52653,201K5265,코스피200 C 201505 265.0,3.75,1,0.75,3.00,4.30,2.94,10.00,3.75,"15,931","28,794,965,000","21,191",OP,2015-04-14,KRDRVOPK2I
KR4201K52679,201K5267,코스피200 C 201505 267.5,2.51,1,0.53,1.98,3.05,1.93,10.00,2.51,"121,339","149,458,755,000","24,343",OP,2015-04-14,KRDRVOPK2I
KR4201K52703,201K5270,코스피200 C 201505 270.0,1.62,1,0.36,1.27,2.05,1.21,10.00,1.62,"132,648","107,031,490,000","36,376",OP,2015-04-14,KRDRVOPK2I
KR4201K52729,201K5272,코스피200 C 201505 272.5,1.00,1,0.23,0.78,1.33,0.73,10.00,1.00,"141,182","71,156,925,000","31,737",OP,2015-04-14,KRDRVOPK2I
KR4201K52752,201K5275,코스피200 C 201505 275.0,0.61,1,0.16,0.45,0.82,0.42,10.00,0.61,"127,574","38,703,490,000","32,492",OP,2015-04-14,KRDRVOPK2I
KR4201K52778,201K5277,코스피200 C 201505 277.5,0.35,1,0.09,0.25,0.50,0.24,10.00,0.35,"106,861","19,326,685,000","35,541",OP,2015-04-14,KRDRVOPK2I
KR4201K52802,201K5280,코스피200 C 201505 280.0,0.19,1,0.04,0.15,0.29,0.14,10.00,0.19,"88,787","8,812,975,000","41,910",OP,2015-04-14,KRDRVOPK2I
KR4201K52828,201K5282,코스피200 C 201505 282.5,0.11,1,0.02,0.08,0.17,0.08,11.00,0.11,"64,683","3,653,640,000","21,698",OP,2015-04-14,KRDRVOPK2I
KR4201K52851,201K5285,코스피200 C 201505 285.0,0.06,3,0.00,0.06,0.10,0.05,11.00,0.06,"44,160","1,603,470,000","14,924",OP,2015-04-14,KRDRVOPK2I
KR4201K52877,201K5287,코스피200 C 201505 287.5,0.04,3,0.00,0.04,0.07,0.03,11.00,0.04,"24,698","528,785,000","12,217",OP,2015-04-14,KRDRVOPK2I
KR4201K52901,201K5290,코스피200 C 201505 290.0,0.03,3,0.00,0.02,0.05,0.02,12.00,0.03,"21,175","333,525,000","28,871",OP,2015-04-14,KRDRVOPK2I
KR4201K52927,201K5292,코스피200 C 201505 292.5,0.02,3,0.00,0.02,0.03,0.01,13.00,0.02,"10,982","109,795,000","9,671",OP,2015-04-14,KRDRVOPK2I
KR4201K62108,201K6210,코스피200 C 201506 210.0,55.50,1,1.45,54.25,55.85,54.25,16.00,55.50,61,"1,691,250,000","1,191",OP,2015-04-14,KRDRVOPK2I
KR4201K62124,201K6212,코스피200 C 201506 212.5,51.75,1,0.15,51.75,51.75,51.75,16.00,51.75,1,"25,875,000",2,OP,2015-04-14,KRDRVOPK2I
KR4201K62157,201K6215,코스피200 C 201506 215.0,50.50,1,2.05,50.50,50.50,50.50,16.00,50.50,1,"25,250,000",262,OP,2015-04-14,KRDRVOPK2I
KR4201K62173,201K6217,코스피200 C 201506 217.5,-,0,-,-,-,-,10.00,48.70,0,0,3,OP,2015-04-14,KRDRVOPK2I
KR4201K62207,201K6220,코스피200 C 201506 220.0,45.50,1,2.05,45.50,45.50,45.50,16.00,45.50,1,"22,750,000",243,OP,2015-04-14,KRDRVOPK2I
KR4201K62223,201K6222,코스피200 C 201506 222.5,41.70,1,0.05,41.65,41.70,41.65,16.00,41.70,2,"41,675,000",6,OP,2015-04-14,KRDRVOPK2I
KR4201K62256,201K6225,코스피200 C 201506 225.0,40.80,1,1.65,40.80,40.80,40.80,3.00,40.80,1,"20,400,000",24,OP,2015-04-14,KRDRVOPK2I
KR4201K62272,201K6227,코스피200 C 201506 227.5,38.40,1,1.55,38.40,38.40,38.40,16.00,38.40,1,"19,200,000",5,OP,2015-04-14,KRDRVOPK2I
KR4201K62306,201K6230,코스피200 C 201506 230.0,35.90,1,1.75,35.95,35.95,35.90,16.00,35.90,2,"35,925,000",13,OP,2015-04-14,KRDRVOPK2I
KR4201K62322,201K6232,코스피200 C 201506 232.5,33.45,1,1.80,33.45,33.45,33.45,16.00,33.45,2,"33,450,000",3,OP,2015-04-14,KRDRVOPK2I
KR4201K62355,201K6235,코스피200 C 201506 235.0,31.00,1,1.45,31.00,31.00,31.00,8.00,31.00,1,"15,500,000",697,OP,2015-04-14,KRDRVOPK2I
KR4201K62371,201K6237,코스피200 C 201506 237.5,28.55,1,1.85,28.55,28.55,28.55,16.00,28.55,1,"14,275,000",8,OP,2015-04-14,KRDRVOPK2I
KR4201K62405,201K6240,코스피200 C 201506 240.0,25.95,1,1.70,26.20,26.45,25.95,16.00,25.95,6,"78,400,000","1,245",OP,2015-04-14,KRDRVOPK2I
KR4201K62421,201K6242,코스피200 C 201506 242.5,23.75,1,1.70,23.75,23.75,23.75,14.00,23.75,1,"11,875,000",17,OP,2015-04-14,KRDRVOPK2I
KR4201K62454,201K6245,코스피200 C 201506 245.0,21.35,1,1.60,21.30,21.35,21.30,15.00,21.35,2,"21,325,000","2,622",OP,2015-04-14,KRDRVOPK2I
KR4201K62470,201K6247,코스피200 C 201506 247.5,-,0,-,-,-,-,10.00,18.95,0,0,75,OP,2015-04-14,KRDRVOPK2I
KR4201K62504,201K6250,코스피200 C 201506 250.0,16.65,1,1.55,16.65,16.65,16.65,14.00,16.65,1,"8,325,000","1,361",OP,2015-04-14,KRDRVOPK2I
KR4201K62520,201K6252,코스피200 C 201506 252.5,14.80,1,1.55,14.45,14.80,14.45,15.00,14.80,3,"21,975,000","1,853",OP,2015-04-14,KRDRVOPK2I
KR4201K62553,201K6255,코스피200 C 201506 255.0,12.35,1,1.25,12.50,12.60,12.15,14.00,12.35,5,"31,050,000",865,OP,2015-04-14,KRDRVOPK2I
KR4201K62579,201K6257,코스피200 C 201506 257.5,10.70,1,1.40,9.70,10.85,9.70,12.00,10.70,59,"310,775,000",213,OP,2015-04-14,KRDRVOPK2I
KR4201K62603,201K6260,코스피200 C 201506 260.0,8.85,1,1.30,7.85,9.20,7.80,12.00,8.85,175,"755,075,000","3,129",OP,2015-04-14,KRDRVOPK2I
KR4201K62629,201K6262,코스피200 C 201506 262.5,7.25,1,1.10,6.20,7.60,6.05,12.00,7.25,92,"323,625,000",786,OP,2015-04-14,KRDRVOPK2I
KR4201K62652,201K6265,코스피200 C 201506 265.0,5.80,1,1.00,5.00,6.20,5.00,12.00,5.80,794,"2,193,925,000","5,261",OP,2015-04-14,KRDRVOPK2I
KR4201K62678,201K6267,코스피200 C 201506 267.5,4.55,1,0.85,3.85,4.90,3.85,12.00,4.55,839,"1,863,825,000","2,236",OP,2015-04-14,KRDRVOPK2I
KR4201K62702,201K6270,코스피200 C 201506 270.0,3.45,1,0.62,2.85,3.90,2.85,11.00,3.45,"1,308","2,277,565,000","4,348",OP,2015-04-14,KRDRVOPK2I
KR4201K62728,201K6272,코스피200 C 201506 272.5,2.65,1,0.54,2.11,2.96,2.11,11.00,2.65,"1,629","2,227,030,000","3,155",OP,2015-04-14,KRDRVOPK2I
KR4201K62751,201K6275,코스피200 C 201506 275.0,1.96,1,0.46,1.50,2.27,1.50,12.00,1.96,"3,229","3,057,095,000","10,131",OP,2015-04-14,KRDRVOPK2I
KR4201K62777,201K6277,코스피200 C 201506 277.5,1.43,1,0.34,1.11,1.72,1.09,11.00,1.43,"2,828","2,066,970,000","4,967",OP,2015-04-14,KRDRVOPK2I
KR4201K62801,201K6280,코스피200 C 201506 280.0,1.10,1,0.27,0.80,1.31,0.80,12.00,1.10,"3,278","1,752,040,000","9,091",OP,2015-04-14,KRDRVOPK2I
KR4201K62827,201K6282,코스피200 C 201506 282.5,0.80,1,0.20,0.61,0.96,0.60,12.00,0.80,"2,690","1,069,990,000","2,734",OP,2015-04-14,KRDRVOPK2I
KR4201K62850,201K6285,코스피200 C 201506 285.0,0.58,1,0.16,0.42,0.72,0.41,12.00,0.58,"3,150","915,555,000","3,976",OP,2015-04-14,KRDRVOPK2I
KR4201K62876,201K6287,코스피200 C 201506 287.5,0.45,1,0.15,0.32,0.54,0.32,12.00,0.45,"1,531","334,955,000","1,308",OP,2015-04-14,KRDRVOPK2I
KR4201K62900,201K6290,코스피200 C 201506 290.0,0.34,1,0.11,0.24,0.41,0.22,13.00,0.34,"3,185","527,035,000","3,668",OP,2015-04-14,KRDRVOPK2I
KR4201K62926,201K6292,코스피200 C 201506 292.5,0.25,1,0.08,0.16,0.30,0.16,13.00,0.25,"1,791","218,120,000","1,283",OP,2015-04-14,KRDRVOPK2I
KR4201K62959,201K6295,코스피200 C 201506 295.0,0.18,1,0.05,0.12,0.23,0.11,13.00,0.18,"1,892","170,725,000","5,427",OP,2015-04-14,KRDRVOPK2I
KR4201K72123,201K7212,코스피200 C 201507 212.5,-,0,-,-,-,-,10.00,53.85,0,0,0,OP,2015-04-14,KRDRVOPK2I
KR4201K72156,201K7215,코스피200 C 201507 215.0,-,0,-,-,-,-,10.00,51.35,0,0,0,OP,2015-04-14,KRDRVOPK2I
KR4201K72172,201K7217,코스피200 C 201507 217.5,-,0,-,-,-,-,10.00,48.90,0,0,0,OP,2015-04-14,KRDRVOPK2I
KR4201K72206,201K7220,코스피200 C 201507 220.0,-,0,-,-,-,-,10.00,46.40,0,0,0,OP,2015-04-14,KRDRVOPK2I
