ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,IMP_VOLT,NXTDD_BAS_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4201581070,20158107,KOSPI 200 콜옵션 0508 107.5,34.70,1,1.85,32.65,34.70,32.60,64.00,34.70,71,"237,380,000","2,253",OP,20050809,KRDRVOPK2I
KR4201581100,20158110,KOSPI 200 콜옵션 0508 110.0,32.20,1,2.20,32.20,32.20,32.20,64.00,32.20,1,"3,220,000","1,303",OP,20050809,KRDRVOPK2I
KR4201581120,20158112,KOSPI 200 콜옵션 0508 112.5,27.85,1,0.45,22.55,27.85,22.55,64.00,27.85,57,"147,850,000",365,OP,20050809,KRDRVOPK2I
KR4201581150,20158115,KOSPI 200 콜옵션 0508 115.0,27.20,1,1.85,26.80,27.20,26.80,64.00,27.20,6,"16,280,000",456,OP,20050809,KRDRVOPK2I
KR4201581170,20158117,KOSPI 200 콜옵션 0508 117.5,23.55,1,0.90,23.55,23.55,23.55,64.00,23.55,1,"2,355,000",286,OP,20050809,KRDRVOPK2I
KR4201581200,20158120,KOSPI 200 콜옵션 0508 120.0,21.80,1,1.20,19.70,21.80,19.70,64.00,21.80,8,"16,265,000","1,182",OP,20050809,KRDRVOPK2I
KR4201581220,20158122,KOSPI 200 콜옵션 0508 122.5,19.60,1,1.50,17.30,19.60,17.30,96.00,19.60,73,"133,550,000","1,144",OP,20050809,KRDRVOPK2I
KR4201581250,20158125,KOSPI 200 콜옵션 0508 125.0,17.15,1,1.85,14.60,17.15,14.55,64.00,17.15,218,"338,325,000","2,675",OP,20050809,KRDRVOPK2I
KR4201581270,20158127,KOSPI 200 콜옵션 0508 127.5,14.65,1,1.55,12.35,14.65,12.35,32.00,14.65,249,"332,605,000","5,194",OP,20050809,KRDRVOPK2I
KR4201581300,20158130,KOSPI 200 콜옵션 0508 130.0,12.00,1,1.70,9.60,12.00,9.60,48.00,12.00,191,"212,160,000","8,603",OP,20050809,KRDRVOPK2I
KR4201581320,20158132,KOSPI 200 콜옵션 0508 132.5,9.65,1,1.50,7.50,9.70,7.35,32.00,9.65,438,"374,105,000","11,422",OP,20050809,KRDRVOPK2I
KR4201581350,20158135,KOSPI 200 콜옵션 0508 135.0,7.20,1,1.80,4.75,7.20,4.65,32.00,7.20,"3,779","2,248,395,000","26,877",OP,20050809,KRDRVOPK2I
KR4201581370,20158137,KOSPI 200 콜옵션 0508 137.5,4.70,1,1.65,2.60,4.75,2.32,20.00,4.70,"51,518","16,583,965,000","54,352",OP,20050809,KRDRVOPK2I
