ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,IMP_VOLT,NXTDD_BAS_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4201S92207,201S9220,코스피200 C 202209 220.0,-,0,-,-,-,-,3.00,111.05,0,0,742,OP,2022-08-12,KRDRVOPK2I
KR4201S92223,201S9222,코스피200 C 202209 222.5,-,0,-,-,-,-,3.00,108.55,0,0,0,OP,2022-08-12,KRDRVOPK2I
KR4201S92256,201S9225,코스피200 C 202209 225.0,-,0,-,-,-,-,3.00,106.10,0,0,0,OP,2022-08-12,KRDRVOPK2I
KR4201S92272,201S9227,코스피200 C 202209 227.5,-,0,-,-,-,-,3.00,103.60,0,0,12,OP,2022-08-12,KRDRVOPK2I
KR4201S92306,201S9230,코스피200 C 202209 230.0,-,0,-,-,-,-,3.00,101.10,0,0,0,OP,2022-08-12,KRDRVOPK2I
KR4201S92322,201S9232,코스피200 C 202209 232.5,-,0,-,-,-,-,3.00,98.60,0,0,0,OP,2022-08-12,KRDRVOPK2I
KR4201S92355,201S9235,코스피200 C 202209 235.0,-,0,-,-,-,-,3.00,96.10,0,0,0,OP,2022-08-12,KRDRVOPK2I
KR4201S92371,201S9237,코스피200 C 202209 237.5,-,0,-,-,-,-,3.00,93.60,0,0,0,OP,2022-08-12,KRDRVOPK2I
KR4201S92405,201S9240,코스피200 C 202209 240.0,-,0,-,-,-,-,3.00,91.10,0,0,0,OP,2022-08-12,KRDRVOPK2I
KR4201S92421,201S9242,코스피200 C 202209 242.5,-,0,-,-,-,-,3.00,88.60,0,0,0,OP,2022-08-12,KRDRVOPK2I
KR4201S92454,201S9245,코스피200 C 202209 245.0,-,0,-,-,-,-,3.00,86.10,0,0,0,OP,2022-08-12,KRDRVOPK2I
KR4201S92470,201S9247,코스피200 C 202209 247.5,-,0,-,-,-,-,3.00,83.60,0,0,0,OP,2022-08-12,KRDRVOPK2I
KR4201S92504,201S9250,코스피200 C 202209 250.0,-,0,-,-,-,-,3.00,81.10,0,0,5,OP,2022-08-12,KRDRVOPK2I
KR4201S92520,201S9252,코스피200 C 202209 252.5,-,0,-,-,-,-,3.00,78.65,0,0,0,OP,2022-08-12,KRDRVOPK2I
KR4201S92553,201S9255,코스피200 C 202209 255.0,-,0,-,-,-,-,3.00,76.15,0,0,1,OP,2022-08-12,KRDRVOPK2I
KR4201S92579,201S9257,코스피200 C 202209 257.5,-,0,-,-,-,-,3.00,73.65,0,0,0,OP,2022-08-12,KRDRVOPK2I
KR4201S92603,201S9260,코스피200 C 202209 260.0,-,0,-,-,-,-,3.00,71.15,0,0,7,OP,2022-08-12,KRDRVOPK2I
KR4201S92629,201S9262,코스피200 C 202209 262.5,-,0,-,-,-,-,3.00,68.65,0,0,0,OP,2022-08-12,KRDRVOPK2I
KR4201S92652,201S9265,코스피200 C 202209 265.0,-,0,-,-,-,-,3.00,66.15,0,0,2,OP,2022-08-12,KRDRVOPK2I
KR4201S92678,201S9267,코스피200 C 202209 267.5,-,0,-,-,-,-,3.00,63.65,0,0,0,OP,2022-08-12,KRDRVOPK2I
KR4201S92702,201S9270,코스피200 C 202209 270.0,60.75,1,2.10,60.65,60.75,60.65,3.00,60.75,2,"30,350,000",3,OP,2022-08-12,KRDRVOPK2I
KR4201S92728,201S9272,코스피200 C 202209 272.5,-,0,-,-,-,-,3.62,58.65,0,0,0,OP,2022-08-12,KRDRVOPK2I
KR4201S92751,201S9275,코스피200 C 202209 275.0,-,0,-,-,-,-,4.24,56.15,0,0,2,OP,2022-08-12,KRDRVOPK2I
KR4201S92777,201S9277,코스피200 C 202209 277.5,-,0,-,-,-,-,4.87,53.65,0,0,0,OP,2022-08-12,KRDRVOPK2I
KR4201S92801,201S9280,코스피200 C 202209 280.0,-,0,-,-,-,-,5.50,51.20,0,0,76,OP,2022-08-12,KRDRVOPK2I
KR4201S92827,201S9282,코스피200 C 202209 282.5,-,0,-,-,-,-,6.12,48.70,0,0,0,OP,2022-08-12,KRDRVOPK2I
KR4201S92850,201S9285,코스피200 C 202209 285.0,-,0,-,-,-,-,6.75,46.20,0,0,1,OP,2022-08-12,KRDRVOPK2I
KR4201S92876,201S9287,코스피200 C 202209 287.5,-,0,-,-,-,-,7.37,43.70,0,0,0,OP,2022-08-12,KRDRVOPK2I
KR4201S92900,201S9290,코스피200 C 202209 290.0,41.05,1,1.95,40.85,41.05,40.65,8.00,41.05,161,"1,576,437,500",191,OP,2022-08-12,KRDRVOPK2I
KR4201S92926,201S9292,코스피200 C 202209 292.5,-,0,-,-,-,-,6.75,38.70,122,"1,126,975,000",148,OP,2022-08-12,KRDRVOPK2I
KR4201S92959,201S9295,코스피200 C 202209 295.0,-,0,-,-,-,-,5.50,36.20,56,"497,700,000",60,OP,2022-08-12,KRDRVOPK2I
KR4201S92975,201S9297,코스피200 C 202209 297.5,-,0,-,-,-,-,4.24,33.70,36,"297,450,000",44,OP,2022-08-12,KRDRVOPK2I
KR4201S93007,201S9300,코스피200 C 202209 300.0,30.95,1,0.75,31.35,31.35,30.95,3.00,30.95,19,"145,587,500","2,067",OP,2022-08-12,KRDRVOPK2I
KR4201S93023,201S9302,코스피200 C 202209 302.5,-,0,-,-,-,-,9.50,28.70,11,"77,137,500",31,OP,2022-08-12,KRDRVOPK2I
KR4201S93056,201S9305,코스피200 C 202209 305.0,26.35,1,0.85,25.85,26.35,25.85,16.00,26.35,67,"427,725,000","1,899",OP,2022-08-12,KRDRVOPK2I
KR4201S93072,201S9307,코스피200 C 202209 307.5,-,0,-,-,-,-,15.00,23.85,117,"674,212,500",287,OP,2022-08-12,KRDRVOPK2I
KR4201S93106,201S9310,코스피200 C 202209 310.0,21.60,1,1.10,21.75,21.75,20.55,14.00,21.60,26,"136,000,000","4,637",OP,2022-08-12,KRDRVOPK2I
KR4201S93122,201S9312,코스피200 C 202209 312.5,-,0,-,-,-,-,12.50,18.90,0,0,196,OP,2022-08-12,KRDRVOPK2I
KR4201S93155,201S9315,코스피200 C 202209 315.0,16.55,1,0.90,16.45,17.15,15.85,11.00,16.55,85,"353,537,500","1,316",OP,2022-08-12,KRDRVOPK2I
KR4201S93171,201S9317,코스피200 C 202209 317.5,14.55,1,0.55,14.70,15.00,13.75,13.00,14.55,46,"167,725,000",313,OP,2022-08-12,KRDRVOPK2I
