ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,IMP_VOLT,NXTDD_BAS_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4201021070,20102107,KOSPI 200 콜옵션 0002 107.5,14.50,1,1.20,15.00,15.00,14.50,64.00,14.50,2,"2,950,000",327,OP,20000208,KRDRVOPK2I
KR4201021100,20102110,KOSPI 200 콜옵션 0002 110.0,11.55,2,-0.55,12.10,13.00,11.55,72.00,11.55,304,"389,070,000","2,652",OP,20000208,KRDRVOPK2I
KR4201021120,20102112,KOSPI 200 콜옵션 0002 112.5,9.10,2,-0.80,9.80,10.60,9.10,80.00,9.10,501,"493,225,000","3,048",OP,20000208,KRDRVOPK2I
KR4201021150,20102115,KOSPI 200 콜옵션 0002 115.0,6.00,2,-1.70,7.55,8.00,6.00,40.00,6.00,737,"530,275,000","10,869",OP,20000208,KRDRVOPK2I
KR4201021170,20102117,KOSPI 200 콜옵션 0002 117.5,3.90,2,-1.10,5.50,5.70,3.90,40.00,3.90,"2,652","1,299,130,000","12,887",OP,20000208,KRDRVOPK2I
KR4201021200,20102120,KOSPI 200 콜옵션 0002 120.0,2.05,2,-0.95,3.15,3.55,1.95,36.50,2.05,"32,028","8,839,618,000","34,387",OP,20000208,KRDRVOPK2I
KR4201021220,20102122,KOSPI 200 콜옵션 0002 122.5,0.90,2,-0.76,1.70,1.85,0.82,36.30,0.90,"54,163","7,468,691,000","28,107",OP,20000208,KRDRVOPK2I
KR4201021250,20102125,KOSPI 200 콜옵션 0002 125.0,0.25,2,-0.43,0.75,0.80,0.24,33.40,0.25,"118,652","6,239,320,000","54,519",OP,20000208,KRDRVOPK2I
KR4201021270,20102127,KOSPI 200 콜옵션 0002 127.5,0.05,2,-0.18,0.20,0.32,0.05,32.70,0.05,"47,801","784,076,000","32,152",OP,20000208,KRDRVOPK2I
KR4201021300,20102130,KOSPI 200 콜옵션 0002 130.0,0.01,5,-0.06,0.07,0.08,0.01,33.80,0.01,"37,647","119,894,000","57,765",OP,20000208,KRDRVOPK2I
KR4201021320,20102132,KOSPI 200 콜옵션 0002 132.5,0.01,3,0.00,0.02,0.02,0.01,41.40,0.01,"14,784","16,010,000","29,154",OP,20000208,KRDRVOPK2I
KR4201021350,20102135,KOSPI 200 콜옵션 0002 135.0,0.01,3,0.00,0.01,0.01,0.01,44.30,0.01,941,"941,000","26,116",OP,20000208,KRDRVOPK2I
KR4201021370,20102137,KOSPI 200 콜옵션 0002 137.5,0.01,3,0.00,0.01,0.01,0.01,51.40,0.01,381,"381,000","33,658",OP,20000208,KRDRVOPK2I
KR4201030900,20103090,KOSPI 200 콜옵션 0003  90.0,-,0,-,-,-,-,36.50,29.65,0,0,0,OP,20000208,KRDRVOPK2I
KR4201030920,20103092,KOSPI 200 콜옵션 0003  92.5,-,0,-,-,-,-,36.50,27.20,0,0,0,OP,20000208,KRDRVOPK2I
KR4201030950,20103095,KOSPI 200 콜옵션 0003  95.0,-,0,-,-,-,-,36.50,24.95,0,0,0,OP,20000208,KRDRVOPK2I
KR4201030970,20103097,KOSPI 200 콜옵션 0003  97.5,-,0,-,-,-,-,36.50,22.55,0,0,0,OP,20000208,KRDRVOPK2I
KR4201031000,20103100,KOSPI 200 콜옵션 0003 100.0,-,0,-,-,-,-,36.50,22.75,0,0,0,OP,20000208,KRDRVOPK2I
KR4201031020,20103102,KOSPI 200 콜옵션 0003 102.5,-,1,-,-,-,-,36.50,15.15,0,0,0,OP,20000208,KRDRVOPK2I
KR4201031050,20103105,KOSPI 200 콜옵션 0003 105.0,-,0,-,-,-,-,36.50,18.00,0,0,8,OP,20000208,KRDRVOPK2I
KR4201031070,20103107,KOSPI 200 콜옵션 0003 107.5,-,1,-,-,-,-,36.50,12.75,0,0,50,OP,20000208,KRDRVOPK2I
KR4201031100,20103110,KOSPI 200 콜옵션 0003 110.0,-,0,-,-,-,-,36.50,11.20,0,0,0,OP,20000208,KRDRVOPK2I
KR4201031120,20103112,KOSPI 200 콜옵션 0003 112.5,-,1,-,-,-,-,36.50,9.25,0,0,0,OP,20000208,KRDRVOPK2I
KR4201031150,20103115,KOSPI 200 콜옵션 0003 115.0,-,0,-,-,-,-,36.50,9.50,0,0,121,OP,20000208,KRDRVOPK2I
KR4201031170,20103117,KOSPI 200 콜옵션 0003 117.5,-,0,-,-,-,-,36.50,8.30,0,0,222,OP,20000208,KRDRVOPK2I
KR4201031200,20103120,KOSPI 200 콜옵션 0003 120.0,5.75,2,-0.60,6.90,6.95,5.70,35.50,5.75,651,"402,600,000","1,068",OP,20000208,KRDRVOPK2I
KR4201031220,20103122,KOSPI 200 콜옵션 0003 122.5,4.40,2,-0.55,4.95,5.05,4.35,34.80,4.40,71,"33,340,000",652,OP,20000208,KRDRVOPK2I
KR4201031250,20103125,KOSPI 200 콜옵션 0003 125.0,3.30,2,-0.60,3.90,4.05,3.30,33.80,3.30,268,"97,360,000",352,OP,20000208,KRDRVOPK2I
KR4201031270,20103127,KOSPI 200 콜옵션 0003 127.5,2.50,2,-0.80,3.30,3.30,2.50,34.00,2.50,"1,215","360,874,000","7,117",OP,20000208,KRDRVOPK2I
KR4201031300,20103130,KOSPI 200 콜옵션 0003 130.0,1.96,2,-0.04,2.00,2.25,1.96,35.40,1.96,"1,004","209,300,000","6,211",OP,20000208,KRDRVOPK2I
KR4201031320,20103132,KOSPI 200 콜옵션 0003 132.5,1.35,2,-0.05,1.70,1.70,1.35,34.30,1.35,224,"34,565,000","1,470",OP,20000208,KRDRVOPK2I
KR4201031350,20103135,KOSPI 200 콜옵션 0003 135.0,0.97,2,-0.08,1.40,1.40,0.88,34.40,0.97,"1,883","221,139,000","1,887",OP,20000208,KRDRVOPK2I
KR4201031370,20103137,KOSPI 200 콜옵션 0003 137.5,0.67,2,-0.01,0.64,0.80,0.64,34.60,0.67,"1,147","82,982,000","2,162",OP,20000208,KRDRVOPK2I
KR4201041070,20104107,KOSPI 200 콜옵션 0004 107.5,-,0,-,-,-,-,36.50,17.35,0,0,0,OP,20000208,KRDRVOPK2I
KR4201041100,20104110,KOSPI 200 콜옵션 0004 110.0,-,0,-,-,-,-,36.50,10.75,0,0,0,OP,20000208,KRDRVOPK2I
KR4201041120,20104112,KOSPI 200 콜옵션 0004 112.5,-,0,-,-,-,-,36.50,13.55,0,0,0,OP,20000208,KRDRVOPK2I
KR4201041150,20104115,KOSPI 200 콜옵션 0004 115.0,-,0,-,-,-,-,36.50,8.30,0,0,0,OP,20000208,KRDRVOPK2I
KR4201041170,20104117,KOSPI 200 콜옵션 0004 117.5,-,0,-,-,-,-,36.50,9.30,0,0,0,OP,20000208,KRDRVOPK2I
KR4201041200,20104120,KOSPI 200 콜옵션 0004 120.0,-,0,-,-,-,-,36.50,8.25,0,0,0,OP,20000208,KRDRVOPK2I
KR4201041220,20104122,KOSPI 200 콜옵션 0004 122.5,-,0,-,-,-,-,36.50,7.05,0,0,0,OP,20000208,KRDRVOPK2I
KR4201041250,20104125,KOSPI 200 콜옵션 0004 125.0,-,0,-,-,-,-,36.50,6.10,0,0,0,OP,20000208,KRDRVOPK2I
KR4201041270,20104127,KOSPI 200 콜옵션 0004 127.5,-,0,-,-,-,-,36.50,4.85,0,0,1,OP,20000208,KRDRVOPK2I
KR4201041300,20104130,KOSPI 200 콜옵션 0004 130.0,-,1,-,-,-,-,36.50,3.50,0,0,2,OP,20000208,KRDRVOPK2I
KR4201061070,20106107,KOSPI 200 콜옵션 0006 107.5,-,0,-,-,-,-,36.50,15.35,0,0,0,OP,20000208,KRDRVOPK2I
KR4201061100,20106110,KOSPI 200 콜옵션 0006 110.0,-,0,-,-,-,-,36.50,14.05,0,0,0,OP,20000208,KRDRVOPK2I
KR4201061120,20106112,KOSPI 200 콜옵션 0006 112.5,-,0,-,-,-,-,36.50,12.85,0,0,0,OP,20000208,KRDRVOPK2I
KR4201061150,20106115,KOSPI 200 콜옵션 0006 115.0,-,0,-,-,-,-,36.50,11.65,0,0,0,OP,20000208,KRDRVOPK2I
KR4201061170,20106117,KOSPI 200 콜옵션 0006 117.5,-,0,-,-,-,-,36.50,10.55,0,0,0,OP,20000208,KRDRVOPK2I
KR4201061200,20106120,KOSPI 200 콜옵션 0006 120.0,-,0,-,-,-,-,36.50,9.65,0,0,0,OP,20000208,KRDRVOPK2I
KR4201061220,20106122,KOSPI 200 콜옵션 0006 122.5,-,0,-,-,-,-,36.50,8.70,0,0,0,OP,20000208,KRDRVOPK2I
KR4201061250,20106125,KOSPI 200 콜옵션 0006 125.0,-,0,-,-,-,-,36.50,7.80,0,0,0,OP,20000208,KRDRVOPK2I
KR4201061270,20106127,KOSPI 200 콜옵션 0006 127.5,-,0,-,-,-,-,36.50,7.90,0,0,0,OP,20000208,KRDRVOPK2I
KR4201061300,20106130,KOSPI 200 콜옵션 0006 130.0,-,0,-,-,-,-,36.50,6.90,0,0,0,OP,20000208,KRDRVOPK2I
KR4201061320,20106132,KOSPI 200 콜옵션 0006 132.5,-,0,-,-,-,-,36.50,5.70,0,0,31,OP,20000208,KRDRVOPK2I
KR4201061350,20106135,KOSPI 200 콜옵션 0006 135.0,-,0,-,-,-,-,36.50,5.45,0,0,0,OP,20000208,KRDRVOPK2I
KR4201061370,20106137,KOSPI 200 콜옵션 0006 137.5,-,0,-,-,-,-,36.50,5.05,0,0,5,OP,20000208,KRDRVOPK2I
KR4301021070,30102107,KOSPI 200 풋옵션 0002 107.5,0.01,3,0.00,0.01,0.01,0.01,55.90,0.01,319,"319,000","27,489",OP,20000208,KRDRVOPK2I
KR4301021100,30102110,KOSPI 200 풋옵션 0002 110.0,0.01,3,0.00,0.01,0.02,0.01,42.80,0.01,"13,685","13,886,000","42,100",OP,20000208,KRDRVOPK2I
KR4301021120,30102112,KOSPI 200 풋옵션 0002 112.5,0.02,3,0.00,0.02,0.02,0.01,36.80,0.02,"14,578","20,971,000","25,910",OP,20000208,KRDRVOPK2I
KR4301021150,30102115,KOSPI 200 풋옵션 0002 115.0,0.06,2,-0.01,0.05,0.07,0.02,31.90,0.06,"31,213","135,722,000","40,579",OP,20000208,KRDRVOPK2I
KR4301021170,30102117,KOSPI 200 풋옵션 0002 117.5,0.25,2,-0.01,0.20,0.26,0.10,30.10,0.25,"43,086","773,336,000","26,137",OP,20000208,KRDRVOPK2I
KR4301021200,30102120,KOSPI 200 풋옵션 0002 120.0,0.91,1,0.11,0.73,0.95,0.45,29.60,0.91,"79,537","5,418,293,000","39,268",OP,20000208,KRDRVOPK2I
