ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,IMP_VOLT,NXTDD_BAS_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4201150550,20115055,KOSPI 200 콜옵션 0105  55.0,-,2,-,-,-,-,27.60,17.45,0,0,833,OP,20010509,KRDRVOPK2I
KR4201150570,20115057,KOSPI 200 콜옵션 0105  57.5,15.00,2,-1.70,15.05,15.05,15.00,3.00,15.00,3,"4,505,000","1,461",OP,20010509,KRDRVOPK2I
KR4201150600,20115060,KOSPI 200 콜옵션 0105  60.0,12.40,2,-1.60,13.40,13.45,9.95,3.00,12.40,"3,893","4,646,630,000","6,301",OP,20010509,KRDRVOPK2I
KR4201150620,20115062,KOSPI 200 콜옵션 0105  62.5,9.80,2,-1.90,10.85,10.85,9.80,3.00,9.80,114,"119,245,000","5,743",OP,20010509,KRDRVOPK2I
KR4201150650,20115065,KOSPI 200 콜옵션 0105  65.0,7.20,2,-2.00,8.50,8.60,7.10,3.00,7.20,"1,460","1,169,165,000","18,895",OP,20010509,KRDRVOPK2I
KR4201150670,20115067,KOSPI 200 콜옵션 0105  67.5,4.80,2,-1.70,6.10,6.10,4.80,3.00,4.80,"3,604","1,921,420,000","13,863",OP,20010509,KRDRVOPK2I
KR4201150700,20115070,KOSPI 200 콜옵션 0105  70.0,2.35,2,-1.70,3.35,3.70,2.31,3.00,2.35,"30,819","8,728,439,000","44,577",OP,20010509,KRDRVOPK2I
KR4201150720,20115072,KOSPI 200 콜옵션 0105  72.5,0.58,2,-1.27,1.40,1.49,0.50,25.80,0.58,"310,155","25,730,089,000","76,634",OP,20010509,KRDRVOPK2I
KR4201150750,20115075,KOSPI 200 콜옵션 0105  75.0,0.04,2,-0.61,0.35,0.40,0.03,28.90,0.04,"977,680","18,221,400,000","203,224",OP,20010509,KRDRVOPK2I
KR4201150770,20115077,KOSPI 200 콜옵션 0105  77.5,0.01,5,-0.09,0.06,0.06,0.01,40.30,0.01,"273,867","626,362,000","154,322",OP,20010509,KRDRVOPK2I
KR4201150800,20115080,KOSPI 200 콜옵션 0105  80.0,0.01,5,-0.01,0.01,0.02,0.01,56.40,0.01,"100,157","103,417,000","277,975",OP,20010509,KRDRVOPK2I
KR4201150820,20115082,KOSPI 200 콜옵션 0105  82.5,0.01,3,0.00,0.01,0.01,0.01,72.10,0.01,688,"688,000","100,326",OP,20010509,KRDRVOPK2I
KR4201160550,20116055,KOSPI 200 콜옵션 0106  55.0,-,2,-,-,-,-,27.60,17.35,0,0,0,OP,20010509,KRDRVOPK2I
KR4201160570,20116057,KOSPI 200 콜옵션 0106  57.5,11.80,1,0.60,11.80,11.80,11.80,3.00,11.80,1,"1,180,000",12,OP,20010509,KRDRVOPK2I
KR4201160600,20116060,KOSPI 200 콜옵션 0106  60.0,12.25,2,-2.05,13.50,13.50,12.10,3.00,12.25,36,"44,680,000",108,OP,20010509,KRDRVOPK2I
KR4201160620,20116062,KOSPI 200 콜옵션 0106  62.5,-,2,-,-,-,-,27.60,10.15,0,0,307,OP,20010509,KRDRVOPK2I
KR4201160650,20116065,KOSPI 200 콜옵션 0106  65.0,7.80,2,-1.55,9.00,9.00,7.80,3.00,7.80,307,"260,150,000","2,368",OP,20010509,KRDRVOPK2I
KR4201160670,20116067,KOSPI 200 콜옵션 0106  67.5,5.80,2,-1.70,6.80,6.80,5.75,23.00,5.80,192,"123,685,000","1,071",OP,20010509,KRDRVOPK2I
KR4201160700,20116070,KOSPI 200 콜옵션 0106  70.0,4.20,2,-1.25,5.15,5.15,4.20,27.00,4.20,"1,616","754,340,000","6,482",OP,20010509,KRDRVOPK2I
KR4201160720,20116072,KOSPI 200 콜옵션 0106  72.5,2.82,2,-1.18,3.55,3.55,2.82,28.00,2.82,"1,273","400,359,000","4,020",OP,20010509,KRDRVOPK2I
KR4201160750,20116075,KOSPI 200 콜옵션 0106  75.0,1.91,2,-0.94,2.60,2.60,1.88,30.00,1.91,"5,187","1,121,024,000","12,644",OP,20010509,KRDRVOPK2I
KR4201160770,20116077,KOSPI 200 콜옵션 0106  77.5,1.23,2,-0.59,1.70,1.70,1.03,31.10,1.23,"2,463","339,558,000","7,470",OP,20010509,KRDRVOPK2I
KR4201160800,20116080,KOSPI 200 콜옵션 0106  80.0,0.71,2,-0.52,1.20,1.20,0.71,31.20,0.71,"18,557","1,677,673,000","17,400",OP,20010509,KRDRVOPK2I
KR4201160820,20116082,KOSPI 200 콜옵션 0106  82.5,0.43,2,-0.34,0.77,0.77,0.43,32.00,0.43,"3,733","206,969,000","6,378",OP,20010509,KRDRVOPK2I
KR4201160850,20116085,KOSPI 200 콜옵션 0106  85.0,0.25,2,-0.23,0.26,0.44,0.25,32.60,0.25,"21,687","692,665,000","28,097",OP,20010509,KRDRVOPK2I
KR4201170570,20117057,KOSPI 200 콜옵션 0107  57.5,-,2,-,-,-,-,27.60,15.30,0,0,21,OP,20010509,KRDRVOPK2I
KR4201170600,20117060,KOSPI 200 콜옵션 0107  60.0,-,2,-,-,-,-,27.60,13.05,0,0,21,OP,20010509,KRDRVOPK2I
KR4201170620,20117062,KOSPI 200 콜옵션 0107  62.5,-,2,-,-,-,-,27.60,10.95,0,0,0,OP,20010509,KRDRVOPK2I
KR4201170650,20117065,KOSPI 200 콜옵션 0107  65.0,-,2,-,-,-,-,27.60,8.95,0,0,0,OP,20010509,KRDRVOPK2I
KR4201170670,20117067,KOSPI 200 콜옵션 0107  67.5,-,2,-,-,-,-,27.60,7.25,0,0,0,OP,20010509,KRDRVOPK2I
KR4201170700,20117070,KOSPI 200 콜옵션 0107  70.0,9.00,1,2.00,9.00,9.00,9.00,58.00,9.00,1,"900,000",3,OP,20010509,KRDRVOPK2I
KR4201170720,20117072,KOSPI 200 콜옵션 0107  72.5,-,2,-,-,-,-,27.60,4.40,0,0,0,OP,20010509,KRDRVOPK2I
KR4201170750,20117075,KOSPI 200 콜옵션 0107  75.0,2.60,2,-1.75,5.90,5.90,2.60,26.30,2.60,2,"850,000",5,OP,20010509,KRDRVOPK2I
KR4201170770,20117077,KOSPI 200 콜옵션 0107  77.5,-,2,-,-,-,-,27.60,2.51,0,0,25,OP,20010509,KRDRVOPK2I
KR4201170800,20117080,KOSPI 200 콜옵션 0107  80.0,2.09,2,-0.46,1.98,2.09,1.98,34.00,2.09,30,"6,050,000",235,OP,20010509,KRDRVOPK2I
KR4201190550,20119055,KOSPI 200 콜옵션 0109  55.0,-,2,-,-,-,-,27.60,18.45,0,0,10,OP,20010509,KRDRVOPK2I
KR4201190570,20119057,KOSPI 200 콜옵션 0109  57.5,-,2,-,-,-,-,27.60,16.35,0,0,10,OP,20010509,KRDRVOPK2I
KR4201190600,20119060,KOSPI 200 콜옵션 0109  60.0,-,2,-,-,-,-,27.60,14.35,0,0,202,OP,20010509,KRDRVOPK2I
KR4201190620,20119062,KOSPI 200 콜옵션 0109  62.5,12.50,2,-1.80,12.50,12.50,12.50,31.00,12.50,1,"1,250,000","1,102",OP,20010509,KRDRVOPK2I
KR4201190650,20119065,KOSPI 200 콜옵션 0109  65.0,10.70,2,-1.45,10.80,10.80,10.70,31.50,10.70,5,"5,370,000",754,OP,20010509,KRDRVOPK2I
KR4201190670,20119067,KOSPI 200 콜옵션 0109  67.5,9.55,2,-1.10,9.75,9.85,9.55,33.00,9.55,54,"51,890,000",593,OP,20010509,KRDRVOPK2I
KR4201190700,20119070,KOSPI 200 콜옵션 0109  70.0,7.75,2,-1.40,8.45,8.45,7.75,33.50,7.75,6,"4,800,000","2,137",OP,20010509,KRDRVOPK2I
KR4201190720,20119072,KOSPI 200 콜옵션 0109  72.5,6.65,2,-1.00,6.95,7.00,6.65,34.30,6.65,12,"8,185,000",504,OP,20010509,KRDRVOPK2I
KR4201190750,20119075,KOSPI 200 콜옵션 0109  75.0,5.50,2,-0.55,5.90,6.00,5.50,34.80,5.50,"2,134","1,234,835,000","2,452",OP,20010509,KRDRVOPK2I
KR4201190770,20119077,KOSPI 200 콜옵션 0109  77.5,4.60,2,-0.60,4.90,5.00,4.50,35.00,4.60,89,"43,170,000","1,971",OP,20010509,KRDRVOPK2I
KR4201190800,20119080,KOSPI 200 콜옵션 0109  80.0,3.60,2,-0.90,4.05,4.20,3.60,34.30,3.60,275,"107,320,000",431,OP,20010509,KRDRVOPK2I
KR4301150550,30115055,KOSPI 200 풋옵션 0105  55.0,0.01,3,0.00,0.01,0.01,0.01,145.10,0.01,"4,019","4,019,000","56,384",OP,20010509,KRDRVOPK2I
KR4301150570,30115057,KOSPI 200 풋옵션 0105  57.5,0.01,3,0.00,0.01,0.01,0.01,124.30,0.01,"1,303","1,303,000","47,728",OP,20010509,KRDRVOPK2I
KR4301150600,30115060,KOSPI 200 풋옵션 0105  60.0,0.01,3,0.00,0.01,0.01,0.01,103.90,0.01,816,"816,000","119,922",OP,20010509,KRDRVOPK2I
KR4301150620,30115062,KOSPI 200 풋옵션 0105  62.5,0.01,3,0.00,0.01,0.01,0.01,83.60,0.01,908,"908,000","74,472",OP,20010509,KRDRVOPK2I
KR4301150650,30115065,KOSPI 200 풋옵션 0105  65.0,0.01,3,0.00,0.01,0.01,0.01,63.40,0.01,"1,515","1,515,000","141,353",OP,20010509,KRDRVOPK2I
