ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,IMP_VOLT,NXTDD_BAS_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4201L11921,201L1192,코스피200 C 201601 192.5,40.90,1,2.70,41.80,41.80,40.90,3.00,40.90,24,"494,350,000",538,OP,2016-01-13,KRDRVOPK2I
KR4201L11954,201L1195,코스피200 C 201601 195.0,38.70,1,2.55,38.70,38.70,38.70,64.00,38.70,1,"19,350,000",30,OP,2016-01-13,KRDRVOPK2I
KR4201L11970,201L1197,코스피200 C 201601 197.5,36.05,1,2.10,36.05,36.05,36.05,64.00,36.05,1,"18,025,000",15,OP,2016-01-13,KRDRVOPK2I
KR4201L12002,201L1200,코스피200 C 201601 200.0,33.85,1,2.55,33.85,33.85,33.85,64.00,33.85,1,"16,925,000",36,OP,2016-01-13,KRDRVOPK2I
KR4201L12028,201L1202,코스피200 C 201601 202.5,30.90,1,2.10,30.90,30.90,30.90,3.00,30.90,1,"15,450,000",28,OP,2016-01-13,KRDRVOPK2I
KR4201L12051,201L1205,코스피200 C 201601 205.0,28.50,1,3.20,28.50,28.50,28.50,64.00,28.50,1,"14,250,000",19,OP,2016-01-13,KRDRVOPK2I
KR4201L12077,201L1207,코스피200 C 201601 207.5,25.90,1,3.10,25.90,25.90,25.90,3.00,25.90,1,"12,950,000",21,OP,2016-01-13,KRDRVOPK2I
KR4201L12101,201L1210,코스피200 C 201601 210.0,24.10,1,3.95,23.15,24.10,23.15,64.00,24.10,4,"47,650,000",207,OP,2016-01-13,KRDRVOPK2I
KR4201L12127,201L1212,코스피200 C 201601 212.5,21.55,1,3.85,21.55,21.55,21.55,64.00,21.55,1,"10,775,000",74,OP,2016-01-13,KRDRVOPK2I
KR4201L12150,201L1215,코스피200 C 201601 215.0,18.95,1,3.80,18.75,18.95,18.75,3.00,18.95,4,"37,775,000",33,OP,2016-01-13,KRDRVOPK2I
KR4201L12176,201L1217,코스피200 C 201601 217.5,16.20,1,3.05,16.05,16.40,16.05,3.00,16.20,4,"32,475,000",32,OP,2016-01-13,KRDRVOPK2I
KR4201L12200,201L1220,코스피200 C 201601 220.0,14.05,1,3.45,12.50,14.05,12.50,3.00,14.05,18,"120,450,000",51,OP,2016-01-13,KRDRVOPK2I
KR4201L12226,201L1222,코스피200 C 201601 222.5,11.05,1,3.20,11.45,11.45,11.05,40.00,11.05,11,"62,375,000",49,OP,2016-01-13,KRDRVOPK2I
KR4201L12259,201L1225,코스피200 C 201601 225.0,8.70,1,3.49,6.50,9.18,6.50,32.00,8.70,198,"714,600,000",925,OP,2016-01-13,KRDRVOPK2I
KR4201L12275,201L1227,코스피200 C 201601 227.5,6.44,1,3.28,4.30,6.67,4.10,32.00,6.44,"1,990","5,168,410,000","2,021",OP,2016-01-13,KRDRVOPK2I
KR4201L12309,201L1230,코스피200 C 201601 230.0,3.89,1,2.36,2.30,4.30,2.07,22.00,3.89,"39,848","61,076,320,000","8,895",OP,2016-01-13,KRDRVOPK2I
KR4201L12325,201L1232,코스피200 C 201601 232.5,1.70,1,1.14,0.90,2.17,0.76,16.00,1.70,"222,399","169,861,850,000","14,947",OP,2016-01-13,KRDRVOPK2I
KR4201L12358,201L1235,코스피200 C 201601 235.0,0.44,1,0.29,0.25,0.69,0.19,14.00,0.44,"349,386","77,731,970,000","28,648",OP,2016-01-13,KRDRVOPK2I
