ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,IMP_VOLT,NXTDD_BAS_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4201240770,20124077,KOSPI 200 콜옵션 0204  77.5,-,1,-,-,-,-,32.90,33.95,0,0,841,OP,20020322,KRDRVOPK2I
KR4201240800,20124080,KOSPI 200 콜옵션 0204  80.0,31.50,1,1.25,31.05,33.00,30.05,3.00,31.50,33,"102,195,000","2,092",OP,20020322,KRDRVOPK2I
KR4201240820,20124082,KOSPI 200 콜옵션 0204  82.5,-,1,-,-,-,-,32.90,29.00,0,0,"2,527",OP,20020322,KRDRVOPK2I
KR4201240850,20124085,KOSPI 200 콜옵션 0204  85.0,-,1,-,-,-,-,32.90,26.50,0,0,129,OP,20020322,KRDRVOPK2I
KR4201240870,20124087,KOSPI 200 콜옵션 0204  87.5,-,1,-,-,-,-,32.90,24.00,0,0,25,OP,20020322,KRDRVOPK2I
KR4201240900,20124090,KOSPI 200 콜옵션 0204  90.0,15.80,2,-4.80,20.75,20.75,15.80,3.00,15.80,3,"5,730,000","2,911",OP,20020322,KRDRVOPK2I
KR4201240920,20124092,KOSPI 200 콜옵션 0204  92.5,-,1,-,-,-,-,32.90,19.10,0,0,571,OP,20020322,KRDRVOPK2I
KR4201240950,20124095,KOSPI 200 콜옵션 0204  95.0,16.20,1,0.35,16.40,16.50,16.10,40.00,16.20,10,"16,330,000","1,201",OP,20020322,KRDRVOPK2I
KR4201240970,20124097,KOSPI 200 콜옵션 0204  97.5,14.70,1,2.50,13.50,14.70,13.50,40.00,14.70,127,"184,480,000","1,113",OP,20020322,KRDRVOPK2I
KR4201241000,20124100,KOSPI 200 콜옵션 0204 100.0,12.00,1,0.50,11.00,14.00,10.95,16.00,12.00,"1,497","1,829,910,000","8,075",OP,20020322,KRDRVOPK2I
KR4201241020,20124102,KOSPI 200 콜옵션 0204 102.5,9.80,1,0.80,9.55,12.05,8.85,28.00,9.80,"1,362","1,394,560,000","5,732",OP,20020322,KRDRVOPK2I
KR4201241050,20124105,KOSPI 200 콜옵션 0204 105.0,8.10,1,1.00,7.50,9.80,6.90,34.00,8.10,"4,736","3,875,290,000","30,655",OP,20020322,KRDRVOPK2I
KR4201241070,20124107,KOSPI 200 콜옵션 0204 107.5,6.10,1,0.45,6.00,7.95,5.30,32.00,6.10,"9,119","5,728,950,000","25,050",OP,20020322,KRDRVOPK2I
KR4201241100,20124110,KOSPI 200 콜옵션 0204 110.0,4.50,1,0.10,4.65,6.05,3.90,31.80,4.50,"56,605","27,110,220,000","68,828",OP,20020322,KRDRVOPK2I
KR4201241120,20124112,KOSPI 200 콜옵션 0204 112.5,3.45,1,0.46,3.45,4.55,2.86,34.00,3.45,"51,640","18,168,497,000","71,496",OP,20020322,KRDRVOPK2I
