ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,IMP_VOLT,NXTDD_BAS_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR42018C0270,2018C027,KOSPI 200 콜옵션 9812  27.5,25.00,2,-8.25,25.00,25.00,25.00,3.00,-,6,"15,000,000",0,OP,19981210,KRDRVOPK2I
KR42018C0300,2018C030,KOSPI 200 콜옵션 9812  30.0,-,0,-,-,-,-,69.40,-,0,0,0,OP,19981210,KRDRVOPK2I
KR42018C0320,2018C032,KOSPI 200 콜옵션 9812  32.5,-,0,-,-,-,-,69.40,-,0,0,0,OP,19981210,KRDRVOPK2I
KR42018C0350,2018C035,KOSPI 200 콜옵션 9812  35.0,-,0,-,-,-,-,69.40,-,0,0,0,OP,19981210,KRDRVOPK2I
KR42018C0370,2018C037,KOSPI 200 콜옵션 9812  37.5,-,0,-,-,-,-,69.40,-,0,0,0,OP,19981210,KRDRVOPK2I
KR42018C0400,2018C040,KOSPI 200 콜옵션 9812  40.0,-,0,-,-,-,-,69.40,-,0,0,0,OP,19981210,KRDRVOPK2I
KR42018C0420,2018C042,KOSPI 200 콜옵션 9812  42.5,-,1,-,-,-,-,69.40,-,0,0,0,OP,19981210,KRDRVOPK2I
KR42018C0450,2018C045,KOSPI 200 콜옵션 9812  45.0,20.60,1,5.10,15.50,20.60,15.50,64.00,-,23,"38,030,000",0,OP,19981210,KRDRVOPK2I
KR42018C0470,2018C047,KOSPI 200 콜옵션 9812  47.5,15.50,1,3.50,13.55,15.50,13.55,3.00,-,21,"28,650,000",0,OP,19981210,KRDRVOPK2I
KR42018C0500,2018C050,KOSPI 200 콜옵션 9812  50.0,15.00,1,4.00,13.30,15.00,12.50,3.00,-,121,"173,570,000",0,OP,19981210,KRDRVOPK2I
KR42018C0520,2018C052,KOSPI 200 콜옵션 9812  52.5,12.00,1,3.05,9.50,13.45,9.50,64.00,-,172,"199,580,000",0,OP,19981210,KRDRVOPK2I
KR42018C0550,2018C055,KOSPI 200 콜옵션 9812  55.0,9.40,1,3.10,6.60,9.80,6.60,3.00,-,824,"708,135,000",0,OP,19981210,KRDRVOPK2I
KR42018C0570,2018C057,KOSPI 200 콜옵션 9812  57.5,7.70,1,3.80,5.80,7.90,5.00,3.00,-,"2,773","1,696,655,000",0,OP,19981210,KRDRVOPK2I
KR42018C0600,2018C060,KOSPI 200 콜옵션 9812  60.0,5.50,1,3.30,2.75,5.50,2.55,3.00,-,"10,127","3,604,365,000",0,OP,19981210,KRDRVOPK2I
KR42018C0620,2018C062,KOSPI 200 콜옵션 9812  62.5,3.00,1,2.42,0.83,3.00,0.80,3.00,-,"68,906","9,772,562,000",0,OP,19981210,KRDRVOPK2I
KR42018C0650,2018C065,KOSPI 200 콜옵션 9812  65.0,0.60,1,0.56,0.08,0.60,0.06,3.00,-,"136,664","3,911,961,000",0,OP,19981210,KRDRVOPK2I
KR42018C0670,2018C067,KOSPI 200 콜옵션 9812  67.5,0.02,1,0.01,0.01,0.05,0.01,29.80,-,"106,617","169,120,000","71,191",OP,19981210,KRDRVOPK2I
KR42018C0700,2018C070,KOSPI 200 콜옵션 9812  70.0,0.01,3,0.00,0.01,0.01,0.01,58.00,-,983,"983,000","32,712",OP,19981210,KRDRVOPK2I
KR42018C0720,2018C072,KOSPI 200 콜옵션 9812  72.5,-,0,-,-,-,-,69.40,-,0,0,"11,192",OP,19981210,KRDRVOPK2I
KR4201910300,20191030,KOSPI 200 콜옵션 9901  30.0,-,0,-,-,-,-,69.40,35.40,0,0,0,OP,19981210,KRDRVOPK2I
KR4201910320,20191032,KOSPI 200 콜옵션 9901  32.5,-,0,-,-,-,-,69.40,32.95,0,0,0,OP,19981210,KRDRVOPK2I
KR4201910350,20191035,KOSPI 200 콜옵션 9901  35.0,-,0,-,-,-,-,69.40,30.45,0,0,0,OP,19981210,KRDRVOPK2I
KR4201910370,20191037,KOSPI 200 콜옵션 9901  37.5,-,0,-,-,-,-,69.40,28.00,0,0,0,OP,19981210,KRDRVOPK2I
KR4201910400,20191040,KOSPI 200 콜옵션 9901  40.0,-,0,-,-,-,-,69.40,25.50,0,0,0,OP,19981210,KRDRVOPK2I
KR4201910420,20191042,KOSPI 200 콜옵션 9901  42.5,-,0,-,-,-,-,69.40,23.10,0,0,0,OP,19981210,KRDRVOPK2I
KR4201910450,20191045,KOSPI 200 콜옵션 9901  45.0,-,0,-,-,-,-,69.40,20.70,0,0,0,OP,19981210,KRDRVOPK2I
KR4201910470,20191047,KOSPI 200 콜옵션 9901  47.5,-,0,-,-,-,-,69.40,18.40,0,0,0,OP,19981210,KRDRVOPK2I
KR4201910500,20191050,KOSPI 200 콜옵션 9901  50.0,-,0,-,-,-,-,69.40,16.15,0,0,2,OP,19981210,KRDRVOPK2I
KR4201910520,20191052,KOSPI 200 콜옵션 9901  52.5,15.50,1,9.00,15.50,15.50,15.50,100.00,15.50,1,"1,550,000",10,OP,19981210,KRDRVOPK2I
KR4201910550,20191055,KOSPI 200 콜옵션 9901  55.0,9.55,1,0.05,9.35,10.00,9.35,3.00,9.55,10,"9,490,000",12,OP,19981210,KRDRVOPK2I
KR4201910570,20191057,KOSPI 200 콜옵션 9901  57.5,10.60,1,5.85,6.30,10.60,6.30,74.00,10.60,305,"280,630,000",403,OP,19981210,KRDRVOPK2I
KR4201910600,20191060,KOSPI 200 콜옵션 9901  60.0,11.00,1,5.70,5.60,11.00,5.60,100.00,11.00,213,"177,530,000",329,OP,19981210,KRDRVOPK2I
KR4201910620,20191062,KOSPI 200 콜옵션 9901  62.5,7.15,1,3.05,5.90,7.40,4.40,68.00,7.15,842,"485,185,000",885,OP,19981210,KRDRVOPK2I
KR4201910650,20191065,KOSPI 200 콜옵션 9901  65.0,6.05,1,2.85,4.00,6.05,4.00,70.00,6.05,"1,766","888,410,000","2,260",OP,19981210,KRDRVOPK2I
KR4201920420,20192042,KOSPI 200 콜옵션 9902  42.5,-,0,-,-,-,-,69.40,23.65,0,0,0,OP,19981210,KRDRVOPK2I
KR4201920450,20192045,KOSPI 200 콜옵션 9902  45.0,-,0,-,-,-,-,69.40,21.40,0,0,0,OP,19981210,KRDRVOPK2I
KR4201920470,20192047,KOSPI 200 콜옵션 9902  47.5,-,0,-,-,-,-,69.40,19.30,0,0,0,OP,19981210,KRDRVOPK2I
KR4201920500,20192050,KOSPI 200 콜옵션 9902  50.0,-,0,-,-,-,-,69.40,17.30,0,0,0,OP,19981210,KRDRVOPK2I
KR4201920520,20192052,KOSPI 200 콜옵션 9902  52.5,-,0,-,-,-,-,69.40,15.40,0,0,0,OP,19981210,KRDRVOPK2I
KR4201920550,20192055,KOSPI 200 콜옵션 9902  55.0,-,0,-,-,-,-,69.40,13.65,0,0,0,OP,19981210,KRDRVOPK2I
KR4201920570,20192057,KOSPI 200 콜옵션 9902  57.5,-,0,-,-,-,-,69.40,11.95,0,0,0,OP,19981210,KRDRVOPK2I
KR4201920600,20192060,KOSPI 200 콜옵션 9902  60.0,-,0,-,-,-,-,69.40,8.50,0,0,0,OP,19981210,KRDRVOPK2I
KR4201920620,20192062,KOSPI 200 콜옵션 9902  62.5,-,0,-,-,-,-,69.40,7.45,0,0,0,OP,19981210,KRDRVOPK2I
KR4201920650,20192065,KOSPI 200 콜옵션 9902  65.0,-,0,-,-,-,-,69.40,6.65,0,0,0,OP,19981210,KRDRVOPK2I
KR4201930270,20193027,KOSPI 200 콜옵션 9903  27.5,-,0,-,-,-,-,69.40,38.25,0,0,0,OP,19981210,KRDRVOPK2I
KR4201930300,20193030,KOSPI 200 콜옵션 9903  30.0,-,0,-,-,-,-,69.40,35.80,0,0,0,OP,19981210,KRDRVOPK2I
KR4201930320,20193032,KOSPI 200 콜옵션 9903  32.5,-,0,-,-,-,-,69.40,33.40,0,0,0,OP,19981210,KRDRVOPK2I
KR4201930350,20193035,KOSPI 200 콜옵션 9903  35.0,-,0,-,-,-,-,69.40,31.05,0,0,0,OP,19981210,KRDRVOPK2I
KR4201930370,20193037,KOSPI 200 콜옵션 9903  37.5,-,0,-,-,-,-,69.40,28.75,0,0,1,OP,19981210,KRDRVOPK2I
KR4201930400,20193040,KOSPI 200 콜옵션 9903  40.0,-,0,-,-,-,-,69.40,26.50,0,0,0,OP,19981210,KRDRVOPK2I
KR4201930420,20193042,KOSPI 200 콜옵션 9903  42.5,-,0,-,-,-,-,69.40,24.35,0,0,0,OP,19981210,KRDRVOPK2I
KR4201930450,20193045,KOSPI 200 콜옵션 9903  45.0,-,0,-,-,-,-,69.40,20.00,0,0,0,OP,19981210,KRDRVOPK2I
KR4201930470,20193047,KOSPI 200 콜옵션 9903  47.5,-,0,-,-,-,-,69.40,20.30,0,0,0,OP,19981210,KRDRVOPK2I
KR4201930500,20193050,KOSPI 200 콜옵션 9903  50.0,-,0,-,-,-,-,69.40,18.40,0,0,1,OP,19981210,KRDRVOPK2I
KR4201930520,20193052,KOSPI 200 콜옵션 9903  52.5,-,0,-,-,-,-,69.40,16.65,0,0,0,OP,19981210,KRDRVOPK2I
KR4201930550,20193055,KOSPI 200 콜옵션 9903  55.0,-,0,-,-,-,-,69.40,15.00,0,0,0,OP,19981210,KRDRVOPK2I
KR4201930570,20193057,KOSPI 200 콜옵션 9903  57.5,-,0,-,-,-,-,69.40,11.35,0,0,0,OP,19981210,KRDRVOPK2I
KR4201930600,20193060,KOSPI 200 콜옵션 9903  60.0,-,0,-,-,-,-,69.40,10.30,0,0,0,OP,19981210,KRDRVOPK2I
KR4201930620,20193062,KOSPI 200 콜옵션 9903  62.5,-,0,-,-,-,-,69.40,9.25,0,0,1,OP,19981210,KRDRVOPK2I
KR4201930650,20193065,KOSPI 200 콜옵션 9903  65.0,4.30,5,-4.15,4.30,4.30,4.30,27.30,4.30,1,"430,000",6,OP,19981210,KRDRVOPK2I
KR4201930670,20193067,KOSPI 200 콜옵션 9903  67.5,-,0,-,-,-,-,69.40,8.55,0,0,71,OP,19981210,KRDRVOPK2I
KR4201960270,20196027,KOSPI 200 콜옵션 9906  27.5,-,0,-,-,-,-,69.40,38.95,0,0,0,OP,19981210,KRDRVOPK2I
KR4201960300,20196030,KOSPI 200 콜옵션 9906  30.0,-,0,-,-,-,-,69.40,36.70,0,0,0,OP,19981210,KRDRVOPK2I
KR4201960320,20196032,KOSPI 200 콜옵션 9906  32.5,-,0,-,-,-,-,69.40,34.55,0,0,0,OP,19981210,KRDRVOPK2I
KR4201960350,20196035,KOSPI 200 콜옵션 9906  35.0,-,0,-,-,-,-,69.40,32.40,0,0,0,OP,19981210,KRDRVOPK2I
