ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,IMP_VOLT,NXTDD_BAS_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4201L21920,201L2192,코스피200 C 201602 192.5,40.55,1,4.50,39.65,40.55,39.65,64.00,40.55,101,"2,043,325,000",490,OP,20160204,KRDRVOPK2I
KR4201L21953,201L2195,코스피200 C 201602 195.0,37.40,1,3.90,37.40,37.40,37.40,64.00,37.40,1,"18,700,000",48,OP,20160204,KRDRVOPK2I
KR4201L21979,201L2197,코스피200 C 201602 197.5,34.10,1,3.45,34.10,34.10,34.10,64.00,34.10,1,"17,050,000",12,OP,20160204,KRDRVOPK2I
KR4201L22001,201L2200,코스피200 C 201602 200.0,32.10,1,3.90,32.10,32.10,32.10,56.00,32.10,1,"16,050,000",25,OP,20160204,KRDRVOPK2I
KR4201L22027,201L2202,코스피200 C 201602 202.5,30.50,1,4.80,29.70,30.50,29.70,48.00,30.50,10,"152,100,000",23,OP,20160204,KRDRVOPK2I
KR4201L22050,201L2205,코스피200 C 201602 205.0,27.10,1,3.90,27.10,27.10,27.10,48.00,27.10,1,"13,550,000",20,OP,20160204,KRDRVOPK2I
KR4201L22076,201L2207,코스피200 C 201602 207.5,24.55,1,3.65,24.55,24.55,24.55,48.00,24.55,1,"12,275,000",14,OP,20160204,KRDRVOPK2I
KR4201L22100,201L2210,코스피200 C 201602 210.0,22.60,1,4.10,21.60,23.00,21.60,32.00,22.60,14,"158,600,000",274,OP,20160204,KRDRVOPK2I
KR4201L22126,201L2212,코스피200 C 201602 212.5,19.40,1,3.30,18.40,19.40,18.40,36.00,19.40,3,"28,125,000",141,OP,20160204,KRDRVOPK2I
KR4201L22159,201L2215,코스피200 C 201602 215.0,18.00,1,4.65,17.85,18.00,17.85,36.00,18.00,2,"17,925,000",67,OP,20160204,KRDRVOPK2I
KR4201L22175,201L2217,코스피200 C 201602 217.5,15.00,1,3.65,14.70,15.00,14.70,32.00,15.00,37,"275,525,000",103,OP,20160204,KRDRVOPK2I
KR4201L22209,201L2220,코스피200 C 201602 220.0,12.30,1,3.60,10.65,12.30,10.50,24.00,12.30,15,"81,150,000",506,OP,20160204,KRDRVOPK2I
KR4201L22225,201L2222,코스피200 C 201602 222.5,10.55,1,4.08,7.87,10.70,7.84,24.00,10.55,357,"1,758,865,000",959,OP,20160204,KRDRVOPK2I
KR4201L22258,201L2225,코스피200 C 201602 225.0,8.39,1,4.07,5.81,8.39,5.40,20.00,8.39,"1,218","4,113,805,000","2,328",OP,20160204,KRDRVOPK2I
KR4201L22274,201L2227,코스피200 C 201602 227.5,5.86,1,3.36,3.63,5.98,3.34,15.00,5.86,"8,919","18,916,425,000","7,326",OP,20160204,KRDRVOPK2I
KR4201L22308,201L2230,코스피200 C 201602 230.0,3.69,1,2.53,1.91,3.78,1.72,13.00,3.69,"89,946","110,665,225,000","10,759",OP,20160204,KRDRVOPK2I
KR4201L22324,201L2232,코스피200 C 201602 232.5,1.88,1,1.45,0.76,1.96,0.68,11.00,1.88,"205,989","130,356,100,000","16,524",OP,20160204,KRDRVOPK2I
KR4201L22357,201L2235,코스피200 C 201602 235.0,0.70,1,0.58,0.22,0.74,0.17,10.00,0.70,"301,105","62,845,480,000","27,974",OP,20160204,KRDRVOPK2I
KR4201L22373,201L2237,코스피200 C 201602 237.5,0.18,1,0.15,0.04,0.19,0.03,10.00,0.18,"280,346","13,072,180,000","41,649",OP,20160204,KRDRVOPK2I
KR4201L22407,201L2240,코스피200 C 201602 240.0,0.05,1,0.04,0.01,0.05,0.01,11.00,0.05,"108,383","1,400,005,000","40,603",OP,20160204,KRDRVOPK2I
KR4201L22423,201L2242,코스피200 C 201602 242.5,0.02,1,0.01,0.01,0.03,0.01,12.00,0.02,"32,148","207,150,000","50,792",OP,20160204,KRDRVOPK2I
KR4201L22456,201L2245,코스피200 C 201602 245.0,0.01,3,0.00,0.01,0.02,0.01,13.00,0.01,"14,967","74,865,000","34,311",OP,20160204,KRDRVOPK2I
KR4201L22472,201L2247,코스피200 C 201602 247.5,0.01,3,0.00,0.01,0.01,0.01,16.00,0.01,805,"4,025,000","35,513",OP,20160204,KRDRVOPK2I
KR4201L22506,201L2250,코스피200 C 201602 250.0,0.01,3,0.00,0.01,0.01,0.01,18.00,0.01,86,"430,000","29,146",OP,20160204,KRDRVOPK2I
KR4201L22522,201L2252,코스피200 C 201602 252.5,0.01,3,0.00,0.01,0.01,0.01,20.00,0.01,76,"380,000","28,459",OP,20160204,KRDRVOPK2I
KR4201L22555,201L2255,코스피200 C 201602 255.0,0.01,3,0.00,0.01,0.01,0.01,24.00,0.01,6,"30,000","24,769",OP,20160204,KRDRVOPK2I
KR4201L22571,201L2257,코스피200 C 201602 257.5,0.01,3,0.00,0.01,0.01,0.01,25.00,0.01,7,"35,000","7,846",OP,20160204,KRDRVOPK2I
KR4201L22605,201L2260,코스피200 C 201602 260.0,0.01,3,0.00,0.01,0.01,0.01,29.00,0.01,6,"30,000","6,318",OP,20160204,KRDRVOPK2I
KR4201L22621,201L2262,코스피200 C 201602 262.5,0.01,3,0.00,0.01,0.01,0.01,31.00,0.01,7,"35,000","4,077",OP,20160204,KRDRVOPK2I
KR4201L22654,201L2265,코스피200 C 201602 265.0,0.01,3,0.00,0.01,0.01,0.01,32.00,0.01,1,"5,000","2,452",OP,20160204,KRDRVOPK2I
KR4201L22670,201L2267,코스피200 C 201602 267.5,0.01,3,0.00,0.01,0.01,0.01,34.00,0.01,2,"10,000","1,400",OP,20160204,KRDRVOPK2I
KR4201L22704,201L2270,코스피200 C 201602 270.0,-,0,-,-,-,-,11.00,0.01,0,0,"2,791",OP,20160204,KRDRVOPK2I
KR4201L22720,201L2272,코스피200 C 201602 272.5,-,0,-,-,-,-,11.00,0.01,0,0,"1,195",OP,20160204,KRDRVOPK2I
KR4201L22753,201L2275,코스피200 C 201602 275.0,0.01,3,0.00,0.01,0.01,0.01,42.00,0.01,1,"5,000",478,OP,20160204,KRDRVOPK2I
KR4201L22779,201L2277,코스피200 C 201602 277.5,0.01,3,0.00,0.01,0.01,0.01,44.00,0.01,1,"5,000","1,162",OP,20160204,KRDRVOPK2I
KR4201L22803,201L2280,코스피200 C 201602 280.0,-,0,-,-,-,-,11.00,0.01,0,0,379,OP,20160204,KRDRVOPK2I
KR4201L22829,201L2282,코스피200 C 201602 282.5,0.01,3,0.00,0.01,0.01,0.01,48.00,0.01,1,"5,000","1,666",OP,20160204,KRDRVOPK2I
KR4201L31903,201L3190,코스피200 C 201603 190.0,43.35,1,4.20,43.00,43.40,43.00,40.00,43.35,116,"2,510,050,000",670,OP,20160204,KRDRVOPK2I
KR4201L31929,201L3192,코스피200 C 201603 192.5,-,0,-,-,-,-,11.00,40.70,0,0,3,OP,20160204,KRDRVOPK2I
KR4201L31952,201L3195,코스피200 C 201603 195.0,-,0,-,-,-,-,11.00,38.20,0,0,27,OP,20160204,KRDRVOPK2I
KR4201L31978,201L3197,코스피200 C 201603 197.5,-,0,-,-,-,-,11.00,35.70,0,0,0,OP,20160204,KRDRVOPK2I
KR4201L32000,201L3200,코스피200 C 201603 200.0,-,0,-,-,-,-,11.00,33.25,0,0,43,OP,20160204,KRDRVOPK2I
KR4201L32026,201L3202,코스피200 C 201603 202.5,-,0,-,-,-,-,11.00,30.75,0,0,0,OP,20160204,KRDRVOPK2I
KR4201L32059,201L3205,코스피200 C 201603 205.0,28.20,1,3.90,27.00,28.20,27.00,28.00,28.20,2,"27,600,000",2,OP,20160204,KRDRVOPK2I
KR4201L32075,201L3207,코스피200 C 201603 207.5,-,0,-,-,-,-,11.00,25.75,0,0,0,OP,20160204,KRDRVOPK2I
KR4201L32109,201L3210,코스피200 C 201603 210.0,22.80,1,3.50,22.45,22.80,22.30,24.00,22.80,7,"78,550,000",16,OP,20160204,KRDRVOPK2I
KR4201L32125,201L3212,코스피200 C 201603 212.5,-,0,-,-,-,-,11.00,20.75,0,0,2,OP,20160204,KRDRVOPK2I
KR4201L32158,201L3215,코스피200 C 201603 215.0,-,0,-,-,-,-,11.00,18.30,0,0,1,OP,20160204,KRDRVOPK2I
KR4201L32174,201L3217,코스피200 C 201603 217.5,-,0,-,-,-,-,11.00,15.80,0,0,2,OP,20160204,KRDRVOPK2I
KR4201L32208,201L3220,코스피200 C 201603 220.0,-,0,-,-,-,-,11.00,13.40,0,0,"1,759",OP,20160204,KRDRVOPK2I
