ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,IMP_VOLT,NXTDD_BAS_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR42010C0570,2010C057,KOSPI 200 콜옵션 0012  57.5,9.55,2,-1.95,10.05,10.35,9.00,3.00,9.55,43,"41,385,000",353,OP,20001120,KRDRVOPK2I
KR42010C0600,2010C060,KOSPI 200 콜옵션 0012  60.0,7.00,2,-1.50,8.00,8.00,7.00,3.00,7.00,47,"34,575,000",549,OP,20001120,KRDRVOPK2I
KR42010C0620,2010C062,KOSPI 200 콜옵션 0012  62.5,5.45,2,-1.60,6.50,6.65,5.15,36.00,5.45,95,"53,755,000","2,143",OP,20001120,KRDRVOPK2I
KR42010C0650,2010C065,KOSPI 200 콜옵션 0012  65.0,3.85,2,-1.75,5.40,5.40,3.85,37.50,3.85,"1,515","646,755,000","5,733",OP,20001120,KRDRVOPK2I
KR42010C0670,2010C067,KOSPI 200 콜옵션 0012  67.5,2.96,2,-0.74,3.60,3.80,2.75,44.00,2.96,"1,506","480,919,000","3,840",OP,20001120,KRDRVOPK2I
KR42010C0700,2010C070,KOSPI 200 콜옵션 0012  70.0,2.04,2,-0.91,2.80,2.80,1.93,45.50,2.04,"13,370","3,085,775,000","24,109",OP,20001120,KRDRVOPK2I
KR42010C0720,2010C072,KOSPI 200 콜옵션 0012  72.5,1.35,2,-0.74,1.50,1.85,1.30,46.00,1.35,"2,075","330,130,000","6,373",OP,20001120,KRDRVOPK2I
KR42010C0750,2010C075,KOSPI 200 콜옵션 0012  75.0,0.88,2,-0.58,1.10,1.27,0.84,46.80,0.88,"40,495","4,177,304,000","37,648",OP,20001120,KRDRVOPK2I
KR42010C0770,2010C077,KOSPI 200 콜옵션 0012  77.5,0.60,2,-0.33,0.84,0.84,0.53,48.40,0.60,"4,281","277,054,000","6,777",OP,20001120,KRDRVOPK2I
KR42010C0800,2010C080,KOSPI 200 콜옵션 0012  80.0,0.34,2,-0.31,0.53,0.55,0.33,47.80,0.34,"133,838","5,820,650,000","119,600",OP,20001120,KRDRVOPK2I
KR42010C0820,2010C082,KOSPI 200 콜옵션 0012  82.5,0.20,2,-0.19,0.32,0.32,0.19,48.00,0.20,"8,057","202,154,000","14,690",OP,20001120,KRDRVOPK2I
KR42010C0850,2010C085,KOSPI 200 콜옵션 0012  85.0,0.10,2,-0.14,0.20,0.20,0.10,47.20,0.10,"49,770","747,197,000","69,849",OP,20001120,KRDRVOPK2I
KR42010C0870,2010C087,KOSPI 200 콜옵션 0012  87.5,0.06,2,-0.08,0.11,0.12,0.05,48.30,0.06,"9,208","72,294,000","24,459",OP,20001120,KRDRVOPK2I
KR42010C0900,2010C090,KOSPI 200 콜옵션 0012  90.0,0.04,2,-0.04,0.06,0.07,0.03,49.40,0.04,"37,641","174,083,000","75,331",OP,20001120,KRDRVOPK2I
KR42010C0920,2010C092,KOSPI 200 콜옵션 0012  92.5,0.03,2,-0.01,0.03,0.04,0.02,51.70,0.03,"10,367","30,427,000","26,241",OP,20001120,KRDRVOPK2I
KR42010C0950,2010C095,KOSPI 200 콜옵션 0012  95.0,0.01,5,-0.01,0.02,0.02,0.01,49.40,0.01,"5,488","10,622,000","28,841",OP,20001120,KRDRVOPK2I
KR42010C0970,2010C097,KOSPI 200 콜옵션 0012  97.5,0.01,5,-0.01,0.01,0.01,0.01,52.70,0.01,"6,358","6,358,000","11,334",OP,20001120,KRDRVOPK2I
KR42010C1000,2010C100,KOSPI 200 콜옵션 0012 100.0,0.01,3,0.00,0.01,0.01,0.01,55.70,0.01,120,"120,000","13,121",OP,20001120,KRDRVOPK2I
KR42010C1020,2010C102,KOSPI 200 콜옵션 0012 102.5,0.01,3,0.00,0.01,0.01,0.01,56.80,0.01,1,"1,000","2,353",OP,20001120,KRDRVOPK2I
KR42010C1050,2010C105,KOSPI 200 콜옵션 0012 105.0,0.01,3,0.00,0.01,0.01,0.01,59.90,0.01,1,"1,000","6,665",OP,20001120,KRDRVOPK2I
KR42010C1070,2010C107,KOSPI 200 콜옵션 0012 107.5,-,0,-,-,-,-,44.60,0.01,0,0,"1,851",OP,20001120,KRDRVOPK2I
KR42010C1100,2010C110,KOSPI 200 콜옵션 0012 110.0,-,0,-,-,-,-,44.60,0.01,0,0,"1,942",OP,20001120,KRDRVOPK2I
KR42010C1120,2010C112,KOSPI 200 콜옵션 0012 112.5,0.01,3,0.00,0.01,0.01,0.01,69.70,0.01,22,"22,000","7,276",OP,20001120,KRDRVOPK2I
