ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,IMP_VOLT,NXTDD_BAS_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4201NA2472,201NA247,코스피200 C 201810 247.5,42.40,2,-0.60,43.15,43.15,42.40,3.00,42.40,2,"21,387,500",210,OP,2018-10-08,KRDRVOPK2I
KR4201NA2506,201NA250,코스피200 C 201810 250.0,40.65,2,-0.70,40.65,40.65,40.65,64.00,40.65,1,"10,162,500",206,OP,2018-10-08,KRDRVOPK2I
KR4201NA2522,201NA252,코스피200 C 201810 252.5,-,0,-,-,-,-,12.20,37.45,0,0,0,OP,2018-10-08,KRDRVOPK2I
KR4201NA2555,201NA255,코스피200 C 201810 255.0,-,0,-,-,-,-,12.20,34.95,0,0,0,OP,2018-10-08,KRDRVOPK2I
KR4201NA2571,201NA257,코스피200 C 201810 257.5,-,0,-,-,-,-,12.20,32.45,0,0,0,OP,2018-10-08,KRDRVOPK2I
KR4201NA2605,201NA260,코스피200 C 201810 260.0,-,0,-,-,-,-,12.20,29.95,0,0,1,OP,2018-10-08,KRDRVOPK2I
KR4201NA2621,201NA262,코스피200 C 201810 262.5,-,0,-,-,-,-,12.20,27.45,0,0,5,OP,2018-10-08,KRDRVOPK2I
KR4201NA2654,201NA265,코스피200 C 201810 265.0,-,0,-,-,-,-,12.20,24.95,0,0,4,OP,2018-10-08,KRDRVOPK2I
KR4201NA2670,201NA267,코스피200 C 201810 267.5,-,0,-,-,-,-,12.20,22.45,0,0,8,OP,2018-10-08,KRDRVOPK2I
KR4201NA2704,201NA270,코스피200 C 201810 270.0,20.90,2,-0.45,20.75,21.10,20.75,3.00,20.90,5,"26,212,500",94,OP,2018-10-08,KRDRVOPK2I
KR4201NA2720,201NA272,코스피200 C 201810 272.5,17.65,2,-1.20,17.65,17.65,17.65,3.00,17.65,1,"4,412,500",55,OP,2018-10-08,KRDRVOPK2I
KR4201NA2753,201NA275,코스피200 C 201810 275.0,-,0,-,-,-,-,12.20,14.95,0,0,15,OP,2018-10-08,KRDRVOPK2I
KR4201NA2779,201NA277,코스피200 C 201810 277.5,-,0,-,-,-,-,12.20,12.45,0,0,64,OP,2018-10-08,KRDRVOPK2I
KR4201NA2803,201NA280,코스피200 C 201810 280.0,10.10,2,-1.50,10.00,12.10,10.00,3.00,10.10,84,"223,450,000",528,OP,2018-10-08,KRDRVOPK2I
KR4201NA2829,201NA282,코스피200 C 201810 282.5,7.87,2,-1.25,8.42,9.54,7.68,22.00,7.87,120,"251,440,000",343,OP,2018-10-08,KRDRVOPK2I
KR4201NA2852,201NA285,코스피200 C 201810 285.0,5.39,2,-1.22,5.55,7.41,5.25,17.00,5.39,"1,570","2,387,475,000","1,374",OP,2018-10-08,KRDRVOPK2I
KR4201NA2878,201NA287,코스피200 C 201810 287.5,3.27,2,-1.01,3.30,5.08,3.07,14.50,3.27,"20,491","19,500,195,000","4,207",OP,2018-10-08,KRDRVOPK2I
KR4201NA2902,201NA290,코스피200 C 201810 290.0,1.55,2,-0.83,1.66,3.00,1.40,12.90,1.55,"148,298","74,509,695,000","24,325",OP,2018-10-08,KRDRVOPK2I
KR4201NA2928,201NA292,코스피200 C 201810 292.5,0.50,2,-0.52,0.61,1.38,0.43,11.80,0.50,"324,554","63,605,592,500","48,107",OP,2018-10-08,KRDRVOPK2I
KR4201NA2951,201NA295,코스피200 C 201810 295.0,0.12,2,-0.21,0.18,0.48,0.11,11.40,0.12,"445,318","26,430,947,500","69,316",OP,2018-10-08,KRDRVOPK2I
KR4201NA2977,201NA297,코스피200 C 201810 297.5,0.04,2,-0.06,0.06,0.15,0.03,12.80,0.04,"373,582","6,108,920,000","86,853",OP,2018-10-08,KRDRVOPK2I
