ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,IMP_VOLT,NXTDD_BAS_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4201M12174,201M1217,코스피200 C 201701 217.5,40.00,1,0.80,39.40,40.00,39.40,16.00,40.00,147,"2,918,875,000","1,167",OP,2016-12-09,KRDRVOPK2I
KR4201M12208,201M1220,코스피200 C 201701 220.0,-,0,-,-,-,-,10.00,37.35,0,0,153,OP,2016-12-09,KRDRVOPK2I
KR4201M12224,201M1222,코스피200 C 201701 222.5,-,0,-,-,-,-,10.00,34.85,0,0,0,OP,2016-12-09,KRDRVOPK2I
KR4201M12257,201M1225,코스피200 C 201701 225.0,-,0,-,-,-,-,10.00,32.35,0,0,5,OP,2016-12-09,KRDRVOPK2I
KR4201M12273,201M1227,코스피200 C 201701 227.5,-,0,-,-,-,-,10.00,29.85,0,0,2,OP,2016-12-09,KRDRVOPK2I
KR4201M12307,201M1230,코스피200 C 201701 230.0,27.40,2,-1.10,27.50,27.50,27.40,20.00,27.40,2,"27,450,000",4,OP,2016-12-09,KRDRVOPK2I
KR4201M12323,201M1232,코스피200 C 201701 232.5,-,0,-,-,-,-,10.00,24.85,0,0,0,OP,2016-12-09,KRDRVOPK2I
KR4201M12356,201M1235,코스피200 C 201701 235.0,-,0,-,-,-,-,10.00,22.35,0,0,13,OP,2016-12-09,KRDRVOPK2I
KR4201M12372,201M1237,코스피200 C 201701 237.5,-,0,-,-,-,-,10.00,19.90,0,0,14,OP,2016-12-09,KRDRVOPK2I
KR4201M12406,201M1240,코스피200 C 201701 240.0,17.55,1,0.65,17.00,17.70,17.00,12.00,17.55,10,"87,450,000",288,OP,2016-12-09,KRDRVOPK2I
KR4201M12422,201M1242,코스피200 C 201701 242.5,15.10,2,-0.90,14.80,15.10,14.80,14.00,15.10,19,"143,925,000",77,OP,2016-12-09,KRDRVOPK2I
KR4201M12455,201M1245,코스피200 C 201701 245.0,12.70,1,0.20,12.45,12.90,12.45,11.00,12.70,19,"120,525,000",244,OP,2016-12-09,KRDRVOPK2I
KR4201M12471,201M1247,코스피200 C 201701 247.5,10.50,1,0.40,10.30,10.70,10.20,12.00,10.50,41,"213,875,000",238,OP,2016-12-09,KRDRVOPK2I
KR4201M12505,201M1250,코스피200 C 201701 250.0,8.65,1,0.52,8.13,8.65,8.02,11.00,8.65,89,"369,550,000","1,010",OP,2016-12-09,KRDRVOPK2I
KR4201M12521,201M1252,코스피200 C 201701 252.5,6.65,1,0.47,6.50,6.89,6.11,11.00,6.65,713,"2,304,405,000","2,526",OP,2016-12-09,KRDRVOPK2I
KR4201M12554,201M1255,코스피200 C 201701 255.0,4.91,1,0.45,4.68,4.94,4.43,11.00,4.91,"1,362","3,187,945,000","5,688",OP,2016-12-09,KRDRVOPK2I
KR4201M12570,201M1257,코스피200 C 201701 257.5,3.38,1,0.38,3.15,3.41,3.00,10.00,3.38,"9,179","14,867,130,000","7,347",OP,2016-12-09,KRDRVOPK2I
KR4201M12604,201M1260,코스피200 C 201701 260.0,2.16,1,0.28,2.00,2.23,1.91,10.00,2.16,"42,299","44,330,740,000","14,754",OP,2016-12-09,KRDRVOPK2I
